uid treatment rep update steal_count donate_count difference
VT0_1 VT0 1 12800 589418 27197 -562221
VT0_1 VT0 1 12900 594141 27619 -566522
VT0_1 VT0 1 13000 596458 25038 -571420
VT0_1 VT0 1 13100 607443 26094 -581349
VT0_1 VT0 1 13200 616103 26417 -589686
VT0_1 VT0 1 13300 606979 27795 -579184
VT0_1 VT0 1 13400 608955 26859 -582096
VT0_1 VT0 1 13500 601044 26624 -574420
VT0_1 VT0 1 13600 620057 28364 -591693
VT0_1 VT0 1 13700 598594 27240 -571354
VT0_1 VT0 1 13800 599859 26193 -573666
VT0_1 VT0 1 13900 603245 24749 -578496
VT0_1 VT0 1 14000 609338 24714 -584624
VT0_1 VT0 1 14100 586562 26288 -560274
VT0_1 VT0 1 14200 568807 25404 -543403
VT0_1 VT0 1 14300 572408 24790 -547618
VT0_1 VT0 1 14400 595423 25114 -570309
VT0_1 VT0 1 14500 600678 25250 -575428
VT0_1 VT0 1 14600 623670 25923 -597747
VT0_1 VT0 1 14700 614050 25615 -588435
VT0_1 VT0 1 14800 598800 26578 -572222
VT0_1 VT0 1 14900 613603 26841 -586762
VT0_1 VT0 1 15000 602642 29348 -573294
VT0_1 VT0 1 15100 596635 29807 -566828
VT0_1 VT0 1 15200 599469 28950 -570519
VT0_1 VT0 1 15300 601079 29819 -571260
VT0_1 VT0 1 15400 615745 31583 -584162
VT0_1 VT0 1 15500 619938 30291 -589647
VT0_1 VT0 1 15600 610726 29304 -581422
VT0_1 VT0 1 15700 603056 28209 -574847
VT0_1 VT0 1 15800 597849 26328 -571521
VT0_1 VT0 1 15900 597862 28458 -569404
VT0_1 VT0 1 16000 586490 28451 -558039
VT0_1 VT0 1 16100 598551 28172 -570379
VT0_1 VT0 1 16200 589735 29479 -560256
VT0_1 VT0 1 16300 589296 28447 -560849
VT0_1 VT0 1 16400 571849 27698 -544151
VT0_1 VT0 1 16500 572070 25936 -546134
VT0_1 VT0 1 16600 589700 26766 -562934
VT0_1 VT0 1 16700 613128 26526 -586602
VT0_1 VT0 1 16800 615212 26468 -588744
VT0_1 VT0 1 16900 601398 28430 -572968
VT0_1 VT0 1 17000 596415 28778 -567637
VT0_1 VT0 1 17100 596323 30097 -566226
VT0_1 VT0 1 17200 607968 29795 -578173
VT0_1 VT0 1 17300 607794 29242 -578552
VT0_1 VT0 1 17400 592323 31664 -560659
VT0_1 VT0 1 17500 611369 29492 -581877
VT0_1 VT0 1 17600 601054 29768 -571286
VT0_1 VT0 1 17700 595014 27012 -568002
VT0_1 VT0 1 17800 578063 29240 -548823
VT0_1 VT0 1 17900 575839 29711 -546128
VT0_1 VT0 1 18000 574370 27353 -547017
VT0_1 VT0 1 18100 577019 26559 -550460
VT0_1 VT0 1 18200 571471 26961 -544510
VT0_1 VT0 1 18300 569923 25204 -544719
VT0_1 VT0 1 18400 571387 25650 -545737
VT0_1 VT0 1 18500 584932 24001 -560931
VT0_1 VT0 1 18600 582749 25699 -557050
VT0_1 VT0 1 18700 575881 28325 -547556
VT0_1 VT0 1 18800 573763 24369 -549394
VT0_1 VT0 1 18900 588853 23839 -565014
VT0_1 VT0 1 19000 602957 23243 -579714
VT0_1 VT0 1 19100 612420 23795 -588625
VT0_1 VT0 1 19200 610269 24908 -585361
VT0_1 VT0 1 19300 596129 25959 -570170
VT0_1 VT0 1 19400 603472 25743 -577729
VT0_1 VT0 1 19500 609021 24929 -584092
VT0_1 VT0 1 19600 609885 24709 -585176
VT0_1 VT0 1 19700 612950 25655 -587295
VT0_1 VT0 1 19800 601521 28291 -573230
VT0_1 VT0 1 19900 607805 25678 -582127
VT0_1 VT0 1 20000 611559 27141 -584418
VT0_1 VT0 1 20100 622529 26814 -595715
VT0_1 VT0 1 20200 633351 27354 -605997
VT0_1 VT0 1 20300 623753 29920 -593833
VT0_1 VT0 1 20400 609615 30471 -579144
VT0_1 VT0 1 20500 611309 27072 -584237
VT0_1 VT0 1 20600 610718 26535 -584183
VT0_1 VT0 1 20700 613970 25682 -588288
VT0_1 VT0 1 20800 609897 24262 -585635
VT0_1 VT0 1 20900 621361 24988 -596373
VT0_1 VT0 1 21000 611061 26206 -584855
VT0_1 VT0 1 21100 606932 26837 -580095
VT0_1 VT0 1 21200 614148 26741 -587407
VT0_1 VT0 1 21300 598516 26959 -571557
VT0_1 VT0 1 21400 604761 26181 -578580
VT0_1 VT0 1 21500 597162 26307 -570855
VT0_1 VT0 1 21600 604110 26978 -577132
VT0_1 VT0 1 21700 605161 26217 -578944
VT0_1 VT0 1 21800 598214 25279 -572935
VT0_1 VT0 1 21900 600057 27626 -572431
VT0_1 VT0 1 22000 593210 26459 -566751
VT0_1 VT0 1 22100 594652 27129 -567523
VT0_1 VT0 1 22200 600689 28342 -572347
VT0_1 VT0 1 22300 615465 27846 -587619
VT0_1 VT0 1 22400 613323 26624 -586699
VT0_1 VT0 1 22500 603595 27206 -576389
VT0_1 VT0 1 22600 591926 26024 -565902
VT0_1 VT0 1 22700 596769 27987 -568782
VT0_1 VT0 1 22800 602235 26796 -575439
VT0_1 VT0 1 22900 600650 26106 -574544
VT0_1 VT0 1 23000 604924 26542 -578382
VT0_1 VT0 1 23100 613021 27331 -585690
VT0_1 VT0 1 23200 598220 27638 -570582
VT0_1 VT0 1 23300 595238 29638 -565600
VT0_1 VT0 1 23400 595003 27458 -567545
VT0_1 VT0 1 23500 589963 27252 -562711
VT0_1 VT0 1 23600 589397 28201 -561196
VT0_1 VT0 1 23700 596878 26466 -570412
VT0_1 VT0 1 23800 618892 25585 -593307
VT0_1 VT0 1 23900 617590 27281 -590309
VT0_1 VT0 1 24000 592724 29131 -563593
VT0_1 VT0 1 24100 582968 30468 -552500
VT0_1 VT0 1 24200 584032 28901 -555131
VT0_1 VT0 1 24300 596355 27921 -568434
VT0_1 VT0 1 24400 580398 27615 -552783
VT0_1 VT0 1 24500 574974 27561 -547413
VT0_1 VT0 1 24600 582797 27706 -555091
VT0_1 VT0 1 24700 566928 30288 -536640
VT0_1 VT0 1 24800 580752 29859 -550893
VT0_1 VT0 1 24900 600058 28464 -571594
VT0_1 VT0 1 25000 596326 28875 -567451
VT0_1 VT0 1 25100 601848 27105 -574743
VT0_1 VT0 1 25200 607104 26799 -580305
VT0_1 VT0 1 25300 609582 26753 -582829
VT0_1 VT0 1 25400 588781 27631 -561150
VT0_1 VT0 1 25500 599750 28768 -570982
VT0_1 VT0 1 25600 611252 28825 -582427
VT0_1 VT0 1 25700 628192 27244 -600948
VT0_1 VT0 1 25800 612564 26703 -585861
VT0_1 VT0 1 25900 600065 27215 -572850
VT0_1 VT0 1 26000 599272 27182 -572090
VT0_1 VT0 1 26100 616555 25794 -590761
VT0_1 VT0 1 26200 615077 26566 -588511
VT0_1 VT0 1 26300 600360 26247 -574113
VT0_1 VT0 1 26400 603822 26271 -577551
VT0_1 VT0 1 26500 613599 28015 -585584
VT0_1 VT0 1 26600 615763 25708 -590055
VT0_1 VT0 1 26700 614052 26443 -587609
VT0_1 VT0 1 26800 608131 28320 -579811
VT0_1 VT0 1 26900 591677 28139 -563538
VT0_1 VT0 1 27000 599142 25776 -573366
VT0_1 VT0 1 27100 614976 26898 -588078
VT0_1 VT0 1 27200 611244 27578 -583666
VT0_1 VT0 1 27300 598683 26682 -572001
VT0_1 VT0 1 27400 593482 26470 -567012
VT0_1 VT0 1 27500 610575 23410 -587165
VT0_1 VT0 1 27600 605144 26168 -578976
VT0_1 VT0 1 27700 611216 26584 -584632
VT0_1 VT0 1 27800 603933 26139 -577794
VT0_1 VT0 1 27900 608231 26860 -581371
VT0_1 VT0 1 28000 615252 27276 -587976
VT0_1 VT0 1 28100 620324 25741 -594583
VT0_1 VT0 1 28200 618396 25510 -592886
VT0_1 VT0 1 28300 619604 25157 -594447
VT0_1 VT0 1 28400 614796 24659 -590137
VT0_1 VT0 1 28500 610146 25092 -585054
VT0_1 VT0 1 28600 612933 24991 -587942
VT0_1 VT0 1 28700 610038 25072 -584966
VT0_1 VT0 1 28800 616399 25572 -590827
VT0_1 VT0 1 28900 607267 24845 -582422
VT0_1 VT0 1 29000 604898 25142 -579756
VT0_1 VT0 1 29100 612686 27004 -585682
VT0_1 VT0 1 29200 608162 26522 -581640
VT0_1 VT0 1 29300 613813 26352 -587461
VT0_1 VT0 1 29400 610286 27376 -582910
VT0_1 VT0 1 29500 601188 29920 -571268
VT0_1 VT0 1 29600 588879 27317 -561562
VT0_1 VT0 1 29700 609086 28432 -580654
VT0_1 VT0 1 29800 595866 30623 -565243
VT0_1 VT0 1 29900 597199 27866 -569333
VT0_1 VT0 1 30000 611515 29715 -581800
VT0_1 VT0 1 30100 612469 27080 -585389
VT0_1 VT0 1 30200 602560 26735 -575825
VT0_1 VT0 1 30300 609717 25855 -583862
VT0_1 VT0 1 30400 604582 25699 -578883
VT0_1 VT0 1 30500 607286 25922 -581364
VT0_1 VT0 1 30600 603038 25796 -577242
VT0_1 VT0 1 30700 608424 25348 -583076
VT0_1 VT0 1 30800 601483 26867 -574616
VT0_1 VT0 1 30900 594449 27102 -567347
VT0_1 VT0 1 31000 596079 26444 -569635
VT0_1 VT0 1 31100 593153 26070 -567083
VT0_1 VT0 1 31200 586260 26508 -559752
VT0_1 VT0 1 31300 591395 29339 -562056
VT0_1 VT0 1 31400 581149 30402 -550747
VT0_1 VT0 1 31500 595030 31164 -563866
VT0_1 VT0 1 31600 594920 26826 -568094
VT0_1 VT0 1 31700 602369 26443 -575926
VT0_1 VT0 1 31800 607257 27477 -579780
VT0_1 VT0 1 31900 603310 27027 -576283
VT0_1 VT0 1 32000 604552 27935 -576617
VT0_1 VT0 1 32100 624251 29263 -594988
VT0_1 VT0 1 32200 617301 28554 -588747
VT0_1 VT0 1 32300 614538 29751 -584787
VT0_1 VT0 1 32400 609816 27126 -582690
VT0_1 VT0 1 32500 599496 26312 -573184
VT0_1 VT0 1 32600 602094 27488 -574606
VT0_1 VT0 1 32700 605375 26335 -579040
VT0_1 VT0 1 32800 602105 25682 -576423
VT0_1 VT0 1 32900 606873 25031 -581842
VT0_1 VT0 1 33000 601677 25916 -575761
VT0_1 VT0 1 33100 590905 25924 -564981
VT0_1 VT0 1 33200 591289 27241 -564048
VT0_1 VT0 1 33300 607242 25205 -582037
VT0_1 VT0 1 33400 611783 25466 -586317
VT0_1 VT0 1 33500 613989 27004 -586985
VT0_1 VT0 1 33600 608616 26370 -582246
VT0_1 VT0 1 33700 607109 26737 -580372
VT0_1 VT0 1 33800 609192 26102 -583090
VT0_1 VT0 1 33900 626569 26475 -600094
VT0_1 VT0 1 34000 612814 27296 -585518
VT0_1 VT0 1 34100 617630 27726 -589904
VT0_1 VT0 1 34200 618517 26910 -591607
VT0_1 VT0 1 34300 610826 25990 -584836
VT0_1 VT0 1 34400 609041 26999 -582042
VT0_1 VT0 1 34500 607071 27432 -579639
