parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010010,0,1,52,333
000110010,0,1,60,453
000001001,0,1,228,337
000110101,0,1,261,694
000010100,9,59,48,386
000100100,2,11,38,367
000000101,2,3,234,381
000010000,14,156,25,135
000110001,0,1,248,556
000001000,11,121,13,76
001000000,0,2,0,0
000000100,11,125,22,120
000000010,13,30,3,16
000000011,0,2,222,184
000110100,2,10,60,547
000000001,199,134,7,9
000001100,2,13,48,393
000011100,2,17,67,564
000100000,4,100,9,61
000110000,2,16,45,400
000001010,0,5,37,230
000000000,9715,9147,0,0
000001011,0,1,241,373
000111100,1,4,72,681
000101100,1,2,55,526
000011010,3,1,64,477
000101000,1,7,33,334
000011000,1,21,53,421
000111000,0,3,60,554
000010001,3,0,237,432
000011001,1,0,254,581
000011101,1,0,267,717
000100010,0,4,29,197
000101010,0,1,47,373
