parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011010,2,0,58,0
000111101,1,0,237,0
000011000,4,0,49,0
000100100,3,0,35,0
000010100,3,0,58,0
000000000,9757,0,0,0
000000101,1,0,204,0
000001001,2,0,194,0
000101000,1,0,32,0
000011011,1,0,224,0
000110001,1,0,219,0
000010000,18,0,26,0
000110000,1,0,50,0
000001010,1,0,30,0
000100000,2,0,13,0
000011100,4,0,66,0
000000100,13,0,19,0
000000001,164,0,13,0
000110100,2,0,63,0
000101001,1,0,203,0
000000010,5,0,6,0
000000011,2,0,183,0
000010101,2,0,228,0
000010001,2,0,212,0
000001000,4,0,20,0
000111100,3,0,69,0
