parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010010,0,4,83,253
000001010,1,3,52,212
000100100,0,15,57,249
000001001,1,7,269,326
000100110,1,0,72,322
000110000,4,8,74,286
000001100,2,20,67,280
000000001,215,167,20,16
000110100,3,4,93,411
000010100,9,22,79,318
000000101,3,0,268,363
001000000,1,0,0,0
000000100,11,100,33,81
000000010,9,46,13,16
000000011,2,4,252,236
000011010,4,1,98,384
000101000,1,5,54,250
000111000,1,0,96,417
000011000,3,10,85,322
000100101,1,0,281,444
000100000,4,67,20,42
000011100,3,10,102,438
000010000,25,134,42,67
000100001,2,1,252,289
000001110,1,0,80,356
000000000,9661,9265,0,0
000100011,0,1,271,345
000010001,7,2,285,379
000010101,1,0,307,520
000001000,14,93,25,65
000101100,0,3,80,375
000111100,4,4,108,514
000100010,1,1,43,168
000000110,1,1,60,240
000011101,0,1,324,620
000111101,1,0,328,689
000101101,1,0,303,551
000011111,1,0,333,668
000011110,1,1,116,499
