update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9974
600,10000,8191
700,10000,8194
800,10000,8196
900,10000,8196
1000,10000,8193
1100,10000,6796
1200,10000,6826
1300,10000,6825
1400,10000,6826
1500,10000,6827
1600,10000,5569
1700,10000,5795
1800,10000,5799
1900,10000,5799
2000,10000,5798
2100,10000,4699
2200,10000,4998
2300,10000,5009
2400,10000,5012
2500,10000,5011
2600,10000,4953
2700,10000,4350
2800,10000,4418
2900,10000,4424
3000,10000,4428
3100,10000,4416
3200,10000,3833
3300,10000,3966
3400,10000,3986
3500,10000,3984
3600,10000,3985
3700,10000,3300
3800,10000,3587
3900,10000,3638
4000,10000,3643
4100,10000,3647
4200,10000,3027
4300,10000,3298
4400,10000,3370
4500,10000,3392
4600,10000,3400
4700,10000,3350
4800,10000,3026
4900,10000,3181
5000,10000,3218
5100,10000,3227
5200,10000,3209
5300,10000,2815
5400,10000,2992
5500,10000,3046
5600,10000,3058
5700,10000,3061
5800,10000,2628
5900,10000,2849
6000,10000,2942
6100,10000,2967
6200,10000,2977
6300,10000,2530
6400,10000,2731
6500,10000,2848
6600,10000,2894
6700,10000,2909
6800,10000,2845
6900,10000,2593
7000,10000,2747
7100,10000,2811
7200,10000,2832
7300,10000,2821
7400,10000,2523
7500,10000,2681
7600,10000,2771
7700,10000,2816
7800,10000,2828
7900,10000,2450
8000,10000,2624
8100,10000,2736
8200,10000,2781
8300,10000,2800
8400,10000,2452
8500,10000,2537
8600,10000,2662
8700,10000,2710
8800,10000,2735
8900,10000,2692
9000,10000,2422
9100,10000,2551
9200,10000,2620
9300,10000,2652
9400,10000,2661
9500,10000,2353
9600,10000,2469
9700,10000,2559
9800,10000,2608
9900,10000,2637
10000,10000,2365
10100,10000,2472
10200,10000,2565
10300,10000,2606
10400,10000,2630
10500,10000,2470
10600,10000,2448
10700,10000,2538
10800,10000,2585
10900,10000,2595
11000,10000,2577
11100,10000,2411
11200,10000,2491
11300,10000,2543
11400,10000,2565
11500,10000,2573
11600,10000,2426
11700,10000,2477
11800,10000,2531
11900,10000,2549
12000,10000,2550
12100,10000,2503
12200,10000,2514
12300,10000,2549
12400,10000,2547
12500,10000,2551
12600,10000,2514
12700,10000,2443
12800,10000,2477
12900,10000,2480
13000,10000,2477
13100,10000,2477
13200,10000,2367
13300,10000,2383
13400,10000,2373
13500,10000,2359
13600,10000,2318
13700,10000,2260
13800,10000,2242
13900,10000,2230
14000,10000,2203
14100,10000,2177
14200,10000,2123
14300,10000,2091
14400,10000,2094
14500,10000,2076
14600,10000,2049
14700,10000,2024
14800,10000,1962
14900,10000,1933
15000,10000,1907
15100,10000,1866
15200,10000,1833
15300,10000,1762
15400,10000,1764
15500,10000,1739
15600,10000,1713
15700,10000,1673
15800,10000,1635
15900,10000,1595
16000,10000,1566
16100,10000,1546
16200,10000,1513
16300,10000,1476
16400,10000,1450
16500,10000,1433
16600,10000,1412
16700,10000,1401
16800,10000,1375
16900,10000,1351
17000,10000,1342
17100,10000,1322
17200,10000,1302
17300,10000,1278
17400,10000,1253
17500,10000,1225
17600,10000,1202
17700,10000,1177
17800,10000,1152
17900,10000,1143
18000,10000,1129
18100,10000,1110
18200,10000,1094
18300,10000,1085
18400,10000,1056
18500,10000,1040
18600,10000,1024
18700,10000,1009
18800,10000,995
18900,10000,994
19000,10000,985
19100,10000,975
19200,10000,964
19300,10000,953
19400,10000,949
19500,10000,929
19600,10000,925
19700,10000,906
19800,10000,900
19900,10000,891
20000,10000,876
20100,10000,874
20200,10000,866
20300,10000,849
20400,10000,833
20500,10000,812
20600,10000,807
20700,10000,799
20800,10000,794
20900,10000,792
21000,10000,801
21100,10000,803
21200,10000,797
21300,10000,793
21400,10000,771
21500,10000,768
21600,10000,758
21700,10000,749
21800,10000,739
21900,10000,733
22000,10000,724
22100,10000,711
22200,10000,708
22300,10000,701
22400,10000,700
22500,10000,699
22600,10000,696
22700,10000,684
22800,10000,672
22900,10000,656
23000,10000,649
23100,10000,639
23200,10000,630
23300,10000,618
23400,10000,616
23500,10000,614
23600,10000,618
23700,10000,621
23800,10000,620
23900,10000,609
24000,10000,611
24100,10000,606
24200,10000,593
24300,10000,590
24400,10000,591
24500,10000,583
24600,10000,574
24700,10000,573
24800,10000,571
24900,10000,563
25000,10000,568
25100,10000,556
25200,10000,551
25300,10000,548
25400,10000,543
25500,10000,539
25600,10000,534
25700,10000,535
25800,10000,529
25900,10000,523
26000,10000,523
26100,10000,519
26200,10000,513
26300,10000,507
26400,10000,518
26500,10000,522
26600,10000,530
26700,10000,529
26800,10000,532
26900,10000,520
27000,10000,517
27100,10000,521
27200,10000,513
27300,10000,509
27400,10000,517
27500,10000,523
27600,10000,510
27700,10000,511
