parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010101,0,1,301,589
000001101,0,1,300,559
000100010,0,2,37,193
000010010,0,2,54,310
000001000,14,100,20,68
001000000,0,2,0,0
000000100,12,115,17,105
000000010,9,66,4,18
000000011,1,6,258,290
000001010,1,3,43,246
000100000,6,67,18,46
000110000,3,6,53,315
000011100,1,15,75,475
000011010,2,0,69,439
000100100,1,10,45,294
000111101,1,0,323,767
000000001,237,200,10,18
000110100,1,8,69,447
000001100,0,14,58,333
000010100,7,40,51,339
000110101,1,0,308,664
000100001,4,2,261,327
000010000,15,130,28,101
000000000,9667,9165,0,0
000111000,2,2,70,440
000011000,7,14,54,347
000101000,2,5,48,258
000001001,1,3,278,379
000000101,2,0,270,436
000010001,0,5,288,438
000000110,0,4,42,295
000010110,0,1,69,455
000111100,3,7,83,554
000101100,0,4,71,420
