parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011010,0,1,99,408
100000000,0,1,0,0
000110001,0,1,381,483
000011110,0,1,118,538
000100101,0,1,361,461
000100010,0,2,39,184
000010010,1,4,75,292
000000110,1,2,53,276
000001000,11,88,25,60
000010100,11,31,77,339
000100100,3,12,55,273
000011100,0,10,109,463
000110000,3,8,75,303
000001010,3,4,44,217
000010000,34,131,29,93
000100001,1,1,329,291
000110100,3,11,97,432
000000001,295,158,12,27
000001100,5,13,65,309
001000000,1,3,0,1
000000100,14,113,27,89
000000010,8,57,6,22
000000011,1,6,319,251
000000000,9576,9235,0,0
000001001,5,5,331,321
000000101,2,4,344,378
000100011,0,1,343,360
000010001,1,6,366,394
001110010,0,1,92,382
000100000,9,63,16,48
000111001,1,0,399,589
000011001,1,2,387,510
000011000,5,14,84,327
000101000,2,6,53,243
000111000,1,0,101,421
000111100,2,3,117,537
000101100,0,1,83,398
