update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
27800,646,26,0,0
27900,646,17,0,0
28000,626,18,0,0
28100,628,21,0,0
28200,624,9,0,0
28300,610,18,0,0
28400,592,22,0,0
28500,600,15,0,0
28600,594,18,0,0
28700,604,11,0,0
28800,583,15,0,0
28900,581,11,0,0
29000,590,24,0,0
29100,598,9,0,0
29200,583,27,0,0
29300,592,16,0,0
29400,583,19,0,0
29500,593,26,0,0
29600,582,24,0,0
29700,588,22,0,0
29800,602,20,0,0
29900,604,15,0,0
30000,614,24,0,0
30100,640,20,0,0
30200,650,24,0,0
30300,653,15,0,0
30400,619,21,0,0
30500,618,28,0,0
30600,619,14,0,0
30700,641,23,0,0
30800,624,14,0,0
30900,623,22,0,0
31000,610,15,0,0
31100,610,14,0,0
31200,598,24,0,0
31300,627,18,0,0
31400,628,20,0,0
31500,658,20,0,0
31600,669,17,0,0
31700,640,18,0,0
31800,637,22,0,0
31900,669,13,0,0
32000,665,21,0,0
32100,644,12,0,0
32200,659,21,0,0
32300,682,20,0,0
32400,680,22,0,0
32500,713,17,0,0
32600,664,16,0,0
32700,654,17,0,0
32800,630,18,0,0
32900,620,19,0,0
33000,614,15,0,0
33100,664,19,0,0
33200,655,25,0,0
33300,633,12,0,0
33400,630,13,0,0
33500,646,19,0,0
33600,654,22,0,0
33700,673,22,0,0
33800,669,17,0,0
33900,635,18,0,0
34000,634,13,0,0
34100,656,15,0,0
34200,661,21,0,0
34300,651,23,0,0
34400,669,20,0,0
34500,671,14,0,0
34600,662,18,0,0
34700,640,17,0,0
34800,690,19,0,0
34900,656,18,0,0
35000,657,15,0,0
35100,658,19,0,0
35200,675,16,0,0
35300,704,20,0,0
35400,689,14,0,0
35500,721,15,0,0
35600,753,25,0,0
35700,770,19,0,0
35800,814,15,0,0
35900,793,15,0,0
36000,794,13,0,0
36100,791,14,0,0
36200,826,18,0,0
36300,793,13,0,0
36400,767,11,0,0
36500,763,16,0,0
36600,753,14,0,0
36700,748,17,0,0
36800,757,23,0,0
36900,744,21,0,0
37000,740,16,0,0
37100,720,24,0,0
37200,768,22,0,0
37300,776,19,0,0
37400,772,16,0,0
37500,801,14,0,0
37600,849,17,0,0
37700,861,17,0,0
37800,871,27,0,0
37900,904,11,0,0
38000,894,16,0,0
38100,901,19,0,0
38200,877,21,0,0
38300,872,13,0,0
38400,874,15,0,0
38500,862,12,0,0
38600,852,17,0,0
38700,874,14,0,0
38800,888,38,0,0
38900,896,20,0,0
39000,893,18,0,0
39100,899,14,0,0
39200,901,24,0,0
39300,893,15,0,0
39400,890,16,0,0
39500,888,23,0,0
39600,878,15,0,0
39700,922,25,0,0
39800,936,23,0,0
39900,959,18,0,0
40000,982,19,0,0
40100,992,16,0,0
40200,970,17,0,0
40300,935,11,0,0
40400,885,14,0,0
40500,874,10,0,0
40600,889,19,0,0
40700,895,12,0,0
40800,889,15,0,0
40900,900,20,0,0
41000,873,16,0,0
41100,872,18,0,0
41200,870,22,0,0
41300,859,12,0,0
41400,895,19,0,0
41500,941,17,0,0
41600,961,11,0,0
41700,922,7,0,0
41800,913,18,0,0
41900,903,25,0,0
42000,848,15,0,0
42100,855,11,0,0
42200,842,15,0,0
42300,870,13,0,0
42400,839,13,0,0
42500,858,14,0,0
42600,819,19,0,0
42700,850,17,0,0
42800,888,16,0,0
42900,876,8,0,0
43000,865,16,0,0
43100,873,10,0,0
43200,892,13,0,0
43300,908,13,0,0
43400,949,17,0,0
43500,936,7,0,0
43600,989,17,0,0
43700,920,13,0,0
43800,901,9,0,0
43900,907,10,0,0
44000,876,14,0,0
44100,880,12,0,0
44200,844,16,0,0
44300,873,15,0,0
44400,893,15,0,0
44500,872,6,0,0
44600,846,12,0,0
44700,862,17,0,0
44800,881,13,0,0
44900,860,19,0,0
45000,884,23,0,0
45100,949,10,0,0
45200,970,8,0,0
45300,977,13,0,0
45400,968,9,0,0
45500,890,9,0,0
45600,869,12,0,0
45700,848,8,0,0
45800,825,4,0,0
45900,807,9,0,0
46000,803,11,0,0
46100,738,4,0,0
46200,716,8,0,0
46300,705,12,0,0
46400,706,14,0,0
46500,691,16,0,0
46600,662,14,0,0
46700,653,13,0,0
46800,663,15,0,0
46900,671,12,0,0
47000,670,11,0,0
47100,679,12,0,0
47200,727,12,0,0
47300,744,8,0,0
47400,758,19,0,0
47500,723,9,0,0
47600,682,14,0,0
47700,663,12,0,0
47800,682,11,0,0
47900,684,12,0,0
48000,678,11,0,0
48100,676,17,0,0
48200,649,17,0,0
48300,627,14,0,0
48400,613,10,0,0
48500,639,13,0,0
48600,638,10,0,0
48700,630,14,0,0
48800,638,15,0,0
48900,644,8,0,0
49000,648,13,0,0
49100,663,12,0,0
49200,633,12,0,0
49300,648,10,0,0
49400,688,9,0,0
49500,697,13,0,0
49600,717,8,0,0
49700,730,10,0,0
49800,734,14,0,0
49900,739,14,0,0
50000,748,8,0,0
50100,768,12,0,0
50200,782,8,0,0
50300,788,8,0,0
50400,822,17,0,0
50500,832,14,0,0
50600,811,8,0,0
50700,814,8,0,0
50800,790,7,0,0
50900,770,8,0,0
51000,773,4,0,0
51100,779,12,0,0
51200,763,7,0,0
51300,753,6,0,0
51400,784,12,0,0
51500,809,14,0,0
51600,824,8,0,0
51700,804,17,0,0
51800,812,13,0,0
51900,849,14,0,0
52000,823,9,0,0
52100,831,10,0,0
52200,836,13,0,0
52300,854,9,0,0
52400,841,9,0,0
52500,844,12,0,0
52600,882,14,0,0
52700,866,11,0,0
52800,855,9,0,0
52900,870,11,0,0
53000,875,9,0,0
53100,870,7,0,0
53200,845,9,0,0
53300,821,15,0,0
53400,825,11,0,0
53500,815,2,0,0
53600,785,9,0,0
53700,777,8,0,0
53800,789,6,0,0
53900,800,12,0,0
54000,822,6,0,0
54100,827,14,0,0
54200,847,7,0,0
