parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101110,0,1,149,582
000001101,0,1,405,571
000101010,0,1,111,397
000101001,0,1,393,480
000010011,0,1,408,528
000100110,2,0,120,460
000010101,1,0,422,627
000010111,0,1,441,695
000100010,1,4,69,236
000011110,1,0,166,671
000010010,3,5,102,376
000001001,2,5,364,351
000001000,15,105,40,92
000101100,0,4,126,509
000111100,3,7,162,678
000100100,4,16,91,364
000110000,3,15,109,403
000111001,1,0,434,702
000100000,15,75,27,83
000001010,1,8,80,265
000011100,6,15,140,587
000000001,288,137,30,31
000001100,7,19,96,396
000110100,2,15,145,552
000100001,3,3,348,315
000010000,30,159,51,142
000001110,0,1,127,489
000110001,1,0,411,569
000000010,16,56,15,33
000000011,4,8,341,238
001000000,0,1,0,0
000000100,22,128,46,140
000000000,9527,9113,0,0
000000101,6,0,368,431
000010100,9,57,117,415
000110101,0,1,441,716
000100101,2,0,394,538
000101000,2,10,86,317
000011000,9,13,101,445
000111000,1,2,136,555
000011010,3,2,130,525
000100011,0,1,375,389
000010001,6,7,382,451
000111101,0,1,457,829
000011101,1,0,440,751
000011001,1,0,412,607
000101101,2,1,422,665
