parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001011,0,1,294,99
000001100,1,0,57,43
000101001,0,2,300,94
000000011,1,1,265,85
000111100,3,0,83,57
000001000,15,8,22,12
000110100,2,1,63,45
000000001,243,57,7,20
000000010,10,8,7,3
000110001,0,1,301,93
000110010,0,1,70,37
000001010,4,0,44,30
000100000,10,2,13,12
000110000,3,0,52,28
000010000,13,5,28,13
000100001,1,3,270,81
000011100,3,2,72,50
000001001,2,2,282,89
000000101,0,5,277,90
000000000,9658,178,0,0
000100100,1,1,44,35
000010100,8,1,45,37
000100101,1,1,291,99
000011010,2,0,73,41
000101000,1,1,54,29
000011000,4,2,60,30
000111000,1,1,76,38
000000100,9,13,20,12
001000000,2,1,0,0
000010101,0,1,300,103
000010001,1,2,288,88
000011101,1,0,319,113
000011001,0,1,310,98
