parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011010,1,0,55,33
000110001,0,1,235,68
000010001,1,4,224,63
000010101,0,2,242,70
000001001,0,2,213,60
000000101,1,3,221,62
000010100,8,2,49,27
000100100,2,1,44,17
000101101,1,0,239,71
000011001,1,1,235,70
000011100,3,0,60,35
000010000,12,5,25,16
000100001,3,0,203,60
000001010,1,0,31,17
000000010,5,5,4,1
000000011,1,1,197,59
000000000,9743,152,0,0
000100101,1,0,229,66
000000001,181,40,9,15
000110100,3,2,63,28
000001100,3,0,47,25
000001000,3,3,22,8
000101000,2,1,36,14
000011000,5,2,44,25
000111000,2,0,57,28
000100000,3,0,18,7
000111001,0,1,242,71
000000100,10,4,25,11
001000000,0,1,0,0
000111100,1,1,69,34
000101100,2,0,55,26
000100010,1,0,28,13
