parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100101,0,1,241,652
000010010,0,4,53,370
000110001,0,2,244,681
000001110,0,1,59,507
000011010,0,4,62,514
000100010,0,2,30,227
000010001,2,5,238,562
000010101,2,3,252,746
000110010,0,1,58,491
000001001,2,9,223,454
000000101,1,1,233,542
000000011,0,4,217,354
000000010,11,58,1,26
000100100,1,16,41,371
000000001,195,248,10,30
000110100,3,7,56,580
000001100,1,7,47,432
000010110,0,2,68,552
000000110,0,3,46,347
000011100,3,11,61,615
000100000,2,86,16,62
000110000,2,9,44,412
000010000,12,166,29,135
000100001,1,3,219,416
000001010,1,5,33,264
001000000,0,1,0,0
000000100,11,154,23,118
000000000,9727,8972,0,0
000011101,0,1,260,880
000111101,1,0,261,969
000001000,5,116,18,79
000111100,3,7,64,710
000101100,1,1,52,541
000010100,6,56,50,429
000110101,1,1,255,847
000101000,0,11,33,312
000011000,3,21,48,430
000111000,3,1,52,558
