update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
22600,5625,0,0,0,0
22700,5620,0,0,0,0
22800,5900,0,0,0,0
22900,5925,0,0,0,0
23000,6160,0,0,0,0
23100,6315,0,0,0,0
23200,6260,0,0,0,0
23300,6615,0,0,0,0
23400,6605,0,0,0,0
23500,6625,0,0,0,0
23600,6615,0,0,0,0
23700,6460,0,0,0,0
23800,6095,0,0,0,0
23900,6340,0,0,0,0
24000,6465,0,0,0,0
24100,6625,0,0,0,0
24200,6415,0,0,0,0
24300,6330,0,0,0,0
24400,6215,0,0,0,0
24500,6160,0,0,0,0
24600,6700,0,0,0,0
24700,7005,0,0,0,0
24800,7165,0,0,0,0
24900,7070,0,0,0,0
25000,7285,0,0,0,0
25100,7410,0,0,0,0
25200,7820,0,0,0,0
25300,7755,0,0,0,0
25400,7625,0,0,0,0
25500,7660,0,0,0,0
25600,7790,0,0,0,0
25700,7855,0,0,0,0
25800,8345,0,0,0,0
25900,8685,0,0,0,0
26000,8595,0,0,0,0
26100,8385,0,0,0,0
26200,8245,0,0,0,0
26300,8135,0,0,0,0
26400,7980,0,0,0,0
26500,7690,0,0,0,0
26600,7305,0,0,0,0
26700,7405,0,0,0,0
26800,7480,0,0,0,0
26900,7775,0,0,0,0
27000,8110,0,0,0,0
27100,8345,0,0,0,0
27200,8015,0,0,0,0
27300,7705,0,0,0,0
27400,8020,0,0,0,0
27500,8175,0,0,0,0
27600,8195,0,0,0,0
27700,8280,0,0,0,0
27800,8475,0,0,0,0
27900,8245,0,0,0,0
28000,7480,0,0,0,0
28100,7565,0,0,0,0
28200,7630,0,0,0,0
28300,7285,0,0,0,0
28400,7240,0,0,0,0
28500,7070,0,0,0,0
28600,7115,0,0,0,0
28700,6980,0,0,0,0
28800,6985,0,0,0,0
28900,7240,0,0,0,0
29000,7315,0,0,0,0
29100,7580,0,0,0,0
29200,7660,0,0,0,0
29300,7300,0,0,0,0
29400,7290,0,0,0,0
29500,7200,0,0,0,0
29600,7600,0,0,0,0
29700,7805,0,0,0,0
29800,8000,0,0,0,0
29900,7940,0,0,0,0
30000,8190,0,0,0,0
30100,8480,0,0,0,0
30200,8880,0,0,0,0
30300,8480,0,0,0,0
30400,7625,0,0,0,0
30500,7160,0,0,0,0
30600,7155,0,0,0,0
30700,7185,0,0,0,0
30800,7370,0,0,0,0
30900,7435,0,0,0,0
31000,7570,0,0,0,0
31100,7350,0,0,0,0
31200,6975,0,0,0,0
