parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001101,0,1,375,101
000100101,0,1,374,99
000101100,0,1,91,25
000111100,2,2,111,33
000001010,2,1,56,17
000100000,14,2,16,8
000011100,3,0,95,31
000110000,3,0,70,20
000000010,14,7,17,3
000000011,6,2,331,90
000110100,2,1,100,30
000000001,290,74,24,10
000001100,3,1,67,21
000100001,1,2,339,89
000010000,15,7,39,6
000110001,2,0,372,99
000010100,6,1,80,26
000100100,3,1,67,21
000000101,4,2,351,96
000001001,1,0,341,92
000000000,9576,240,0,0
001000000,1,0,0,0
000000100,20,7,27,11
000011011,1,0,385,108
000011010,3,0,88,29
000010001,5,2,351,93
000101000,1,0,58,16
000111000,1,0,86,26
000011000,5,0,64,20
000010010,2,0,76,23
000000110,2,0,74,28
000011101,2,0,393,109
000011001,1,0,369,101
000001000,8,3,25,6
000110011,1,0,391,107
