parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011000,2,0,59,0
000010010,3,0,45,0
000000100,15,0,21,0
000000000,9674,0,0,0
000110000,3,0,50,0
000100000,6,0,16,0
000001100,4,0,50,0
000110100,4,0,71,0
000000001,234,0,11,0
000110001,1,0,291,0
000010000,15,0,27,0
000001001,1,0,267,0
000000101,3,0,274,0
000101000,4,0,35,0
000111000,1,0,67,0
000010011,1,0,285,0
000010101,1,0,300,0
000010001,3,0,278,0
000111100,2,0,84,0
000001000,10,0,14,0
000100100,1,0,50,0
000010100,6,0,59,0
000000010,5,0,5,0
000000011,1,0,252,0
