update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
27600,187,14,0,0
27700,197,7,0,0
27800,199,11,0,0
27900,186,7,0,0
28000,208,14,0,0
28100,214,12,0,0
28200,219,14,0,0
28300,214,14,0,0
28400,212,9,0,0
28500,214,11,0,0
28600,202,9,0,0
28700,212,11,0,0
28800,239,10,0,0
28900,234,22,0,0
29000,246,9,0,0
29100,236,13,0,0
29200,215,13,0,0
29300,213,8,0,0
29400,231,11,0,0
29500,220,19,0,0
29600,241,10,0,0
29700,242,9,0,0
29800,247,11,0,0
29900,244,11,0,0
30000,266,12,0,0
30100,273,9,0,0
30200,271,13,0,0
30300,268,7,0,0
30400,257,9,0,0
30500,236,10,0,0
30600,249,9,0,0
30700,251,6,0,0
30800,275,21,0,0
30900,288,16,0,0
31000,304,15,0,0
31100,322,12,0,0
31200,320,11,0,0
31300,331,11,0,0
31400,333,5,0,0
31500,338,15,0,0
31600,340,13,0,0
31700,354,11,0,0
31800,347,7,0,0
31900,334,14,0,0
32000,327,9,0,0
32100,344,13,0,0
32200,321,7,0,0
32300,306,13,0,0
32400,308,7,0,0
32500,308,9,0,0
32600,317,9,0,0
32700,316,7,0,0
32800,307,13,0,0
32900,312,7,0,0
33000,316,9,0,0
33100,327,10,0,0
33200,324,9,0,0
33300,324,13,0,0
33400,318,9,0,0
33500,302,15,0,0
33600,279,8,0,0
33700,290,13,0,0
33800,291,11,0,0
33900,267,10,0,0
34000,280,13,0,0
34100,261,4,0,0
34200,267,13,0,0
34300,264,10,0,0
34400,265,15,0,0
34500,279,14,0,0
34600,271,10,0,0
34700,282,16,0,0
34800,284,12,0,0
34900,292,8,0,0
35000,285,11,0,0
35100,304,19,0,0
35200,281,11,0,0
35300,275,23,0,0
35400,284,13,0,0
35500,289,9,0,0
35600,300,7,0,0
35700,293,8,0,0
35800,295,14,0,0
35900,290,14,0,0
36000,291,11,0,0
36100,328,10,0,0
36200,334,10,0,0
36300,333,10,0,0
36400,317,14,0,0
36500,317,3,0,0
36600,308,15,0,0
36700,303,10,0,0
36800,309,11,0,0
36900,288,10,0,0
37000,284,7,0,0
37100,285,10,0,0
37200,297,11,0,0
37300,297,12,0,0
37400,305,7,0,0
37500,290,7,0,0
37600,298,13,0,0
37700,282,12,0,0
37800,282,11,0,0
37900,261,9,0,0
38000,268,10,0,0
38100,295,11,0,0
38200,290,17,0,0
38300,267,15,0,0
38400,258,12,0,0
38500,239,13,0,0
38600,232,4,0,0
38700,210,11,0,0
38800,204,6,0,0
38900,198,8,0,0
39000,184,8,0,0
39100,186,7,0,0
39200,177,9,0,0
39300,182,14,0,0
39400,194,5,0,0
39500,179,14,0,0
39600,176,7,0,0
39700,183,11,0,0
39800,186,12,0,0
39900,201,8,0,0
40000,211,9,0,0
40100,199,11,0,0
40200,191,13,0,0
40300,181,9,0,0
40400,175,10,0,0
40500,184,15,0,0
40600,173,11,0,0
40700,161,8,0,0
40800,164,6,0,0
40900,167,13,0,0
41000,172,8,0,0
41100,180,11,0,0
41200,184,12,0,0
41300,188,7,0,0
41400,199,8,0,0
41500,213,18,0,0
41600,223,12,0,0
41700,225,12,0,0
41800,224,14,0,0
41900,235,9,0,0
42000,226,12,0,0
42100,235,12,0,0
42200,238,11,0,0
42300,254,17,0,0
42400,258,9,0,0
42500,259,12,0,0
42600,247,11,0,0
42700,244,14,0,0
42800,235,14,0,0
42900,230,8,0,0
43000,227,13,0,0
43100,237,13,0,0
43200,240,15,0,0
43300,249,12,0,0
43400,253,9,0,0
43500,255,17,0,0
43600,252,13,0,0
43700,254,8,0,0
43800,245,12,0,0
43900,248,6,0,0
44000,259,8,0,0
44100,242,6,0,0
44200,253,11,0,0
44300,255,12,0,0
44400,246,14,0,0
44500,249,9,0,0
44600,252,16,0,0
44700,260,10,0,0
44800,274,12,0,0
44900,272,13,0,0
45000,311,12,0,0
45100,328,12,0,0
45200,329,9,0,0
45300,341,9,0,0
45400,350,12,0,0
45500,339,8,0,0
45600,340,7,0,0
45700,330,14,0,0
45800,356,14,0,0
45900,355,10,0,0
46000,365,9,0,0
46100,361,6,0,0
46200,338,8,0,0
46300,329,10,0,0
46400,366,12,0,0
46500,385,10,0,0
46600,368,3,0,0
46700,350,11,0,0
46800,341,12,0,0
46900,363,17,0,0
47000,349,9,0,0
47100,357,17,0,0
47200,367,17,0,0
47300,382,9,0,0
47400,386,7,0,0
47500,370,8,0,0
47600,355,11,0,0
47700,349,11,0,0
47800,312,11,0,0
47900,280,10,0,0
48000,281,7,0,0
48100,275,12,0,0
48200,274,12,0,0
48300,272,17,0,0
48400,271,8,0,0
48500,244,13,0,0
48600,241,7,0,0
48700,235,13,0,0
48800,234,7,0,0
48900,215,8,0,0
49000,220,11,0,0
49100,217,6,0,0
49200,201,8,0,0
49300,213,12,0,0
49400,225,12,0,0
49500,224,9,0,0
49600,222,10,0,0
49700,221,7,0,0
49800,222,14,0,0
49900,215,12,0,0
50000,202,9,0,0
50100,192,13,0,0
50200,196,10,0,0
50300,184,4,0,0
50400,192,9,0,0
50500,193,9,0,0
50600,176,10,0,0
50700,175,5,0,0
50800,171,2,0,0
50900,175,14,0,0
51000,171,14,0,0
51100,177,5,0,0
51200,175,7,0,0
51300,164,6,0,0
51400,159,7,0,0
51500,165,5,0,0
51600,153,8,0,0
51700,163,14,0,0
51800,159,6,0,0
51900,157,9,0,0
52000,162,7,0,0
52100,160,11,0,0
52200,191,9,0,0
52300,201,7,0,0
52400,206,12,0,0
52500,208,10,0,0
52600,198,8,0,0
52700,207,11,0,0
52800,201,4,0,0
52900,204,8,0,0
53000,207,6,0,0
53100,235,15,0,0
53200,262,15,0,0
53300,276,11,0,0
53400,260,9,0,0
53500,260,8,0,0
53600,261,10,0,0
53700,246,6,0,0
53800,232,7,0,0
53900,232,7,0,0
54000,243,2,0,0
54100,245,9,0,0
54200,255,11,0,0
54300,247,14,0,0
54400,243,6,0,0
54500,215,3,0,0
54600,206,9,0,0
54700,206,6,0,0
54800,198,10,0,0
54900,196,8,0,0
55000,211,13,0,0
55100,221,6,0,0
55200,219,9,0,0
55300,222,9,0,0
55400,221,10,0,0
55500,228,6,0,0
55600,221,12,0,0
55700,240,15,0,0
55800,265,10,0,0
55900,263,6,0,0
56000,258,11,0,0
56100,275,9,0,0
56200,273,5,0,0
56300,261,8,0,0
56400,258,11,0,0
56500,256,10,0,0
56600,245,8,0,0
56700,244,10,0,0
56800,245,4,0,0
56900,233,11,0,0
57000,229,8,0,0
57100,241,7,0,0
57200,242,10,0,0
57300,248,9,0,0
57400,243,6,0,0
57500,247,7,0,0
57600,256,14,0,0
57700,276,10,0,0
57800,271,11,0,0
57900,265,15,0,0
58000,283,7,0,0
58100,300,9,0,0
58200,308,5,0,0
58300,307,13,0,0
58400,328,11,0,0
58500,318,10,0,0
58600,302,12,0,0
58700,321,12,0,0
58800,319,10,0,0
58900,339,13,0,0
59000,318,10,0,0
59100,276,4,0,0
59200,250,7,0,0
59300,246,6,0,0
59400,229,7,0,0
59500,223,13,0,0
59600,223,10,0,0
59700,227,5,0,0
59800,218,11,0,0
59900,217,15,0,0
60000,234,14,0,0
60100,255,13,0,0
60200,253,4,0,0
60300,260,11,0,0
60400,290,15,0,0
60500,302,12,0,0
60600,295,11,0,0
60700,305,10,0,0
60800,317,11,0,0
60900,317,12,0,0
