update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,10014,0,0,0
200,20018,0,0,0
300,20025,0,0,0
400,20027,0,0,0
500,20025,0,26,26
600,16779,0,2191,2191
700,17071,0,0,0
800,17064,0,0,0
900,17064,0,0,0
1000,17067,0,4,4
1100,15261,0,2190,2190
1200,14748,0,2,2
1300,14746,0,1,1
1400,14739,0,2,2
1500,14738,0,4,4
1600,13482,0,2173,2173
1700,12742,0,4,4
1800,12760,0,2,2
1900,12763,0,3,3
2000,12764,0,4,4
2100,12561,0,2124,2124
2200,10748,0,45,45
2300,11202,0,5,5
2400,11208,0,7,7
2500,11193,0,7,7
2600,11175,0,119,119
2700,9597,0,1984,1984
2800,9824,0,7,7
2900,9807,0,7,7
3000,9810,0,8,8
3100,9805,0,22,22
3200,8715,0,2034,2034
3300,8680,0,10,10
3400,8681,0,9,9
3500,8675,0,13,13
3600,8668,0,22,22
3700,8019,0,2013,2013
3800,7760,0,35,35
3900,7778,0,16,16
4000,7778,0,23,23
4100,7755,0,23,23
4200,7562,0,1850,1850
4300,6745,0,151,151
4400,7016,0,20,20
4500,7011,0,31,31
4600,7004,0,18,18
4700,6973,0,220,220
4800,6146,0,1768,1768
4900,6333,0,23,23
5000,6305,0,28,28
5100,6308,0,30,30
5200,6277,0,72,72
5300,5644,0,1855,1855
5400,5730,0,36,36
5500,5716,0,41,41
5600,5712,0,37,37
5700,5697,0,42,42
5800,5313,0,1816,1816
5900,5130,0,94,94
6000,5163,0,41,41
6100,5140,0,51,51
6200,5121,0,54,54
6300,4979,0,1541,1541
6400,4514,0,280,280
6500,4664,0,53,53
6600,4616,0,94,94
6700,4602,0,51,51
6800,4554,0,298,298
6900,4058,0,1506,1506
7000,4095,0,72,72
7100,4059,0,97,97
7200,4038,0,71,71
7300,3997,0,103,103
7400,3618,0,1630,1630
7500,3633,0,89,89
7600,3622,0,115,115
7700,3582,0,78,78
7800,3543,0,78,78
7900,3351,0,1543,1543
8000,3249,0,191,191
8100,3245,0,115,115
8200,3194,0,123,123
8300,3160,0,86,86
8400,3067,0,1233,1233
8500,2841,0,439,439
8600,2911,0,103,103
8700,2884,0,147,147
8800,2869,0,91,91
8900,2841,0,319,319
9000,2622,0,1248,1248
9100,2651,0,146,146
9200,2601,0,192,192
9300,2572,0,184,184
9400,2513,0,208,208
9500,2331,0,1144,1144
9600,2282,0,235,235
9700,2236,0,271,271
9800,2178,0,254,254
9900,2123,0,282,282
10000,2041,0,626,626
10100,1963,0,421,421
10200,1908,0,312,312
10300,1859,0,307,307
10400,1804,0,330,330
10500,1763,0,424,424
10600,1686,0,534,534
10700,1653,0,330,330
