parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001011,0,1,212,426
001010000,0,1,33,254
000001101,0,1,220,536
000110111,0,1,241,721
000101110,0,1,52,438
000100010,0,1,26,167
000010100,5,28,41,359
000100100,1,10,31,262
000001010,1,4,29,209
000100000,1,51,11,56
000110000,2,9,36,314
000011100,3,12,52,464
000001000,4,68,16,88
000100001,1,1,195,336
000010000,13,141,20,111
000000111,0,1,222,477
000001100,1,9,37,314
000000001,179,209,6,24
000110100,1,13,49,433
000000010,8,48,6,16
000000011,1,4,197,286
001000000,0,3,0,1
000000100,10,110,15,86
000000000,9755,9207,0,0
000011010,3,1,49,406
000011000,0,29,43,324
000111000,1,8,45,408
000101000,2,5,24,237
000000101,1,2,208,420
000001001,2,10,201,366
000010001,1,0,216,482
000010101,0,2,229,611
000010010,1,2,42,310
000111100,3,5,54,524
000101100,0,1,42,384
000101001,0,1,208,459
