update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,10015,0,0,0
200,20014,0,0,0
300,20027,0,0,0
400,20008,0,0,0
500,20025,0,0,0
600,16239,164,0,0
700,16091,4,0,0
800,16088,1,0,0
900,16089,2,0,0
1000,16086,0,0,0
1100,14426,211,0,0
1200,13056,27,0,0
1300,13071,2,0,0
1400,13066,0,0,0
1500,13060,1,0,0
1600,11961,30,0,0
1700,10553,241,0,0
1800,10626,5,0,0
1900,10626,1,0,0
2000,10618,1,0,0
2100,10529,1,0,0
2200,8644,285,0,0
2300,8732,23,0,0
2400,8739,2,0,0
2500,8716,3,0,0
2600,8710,3,0,0
2700,7192,249,0,0
2800,7192,77,0,0
2900,7220,8,0,0
3000,7211,1,0,0
3100,7210,6,0,0
3200,6468,222,0,0
3300,6014,126,0,0
3400,6060,17,0,0
3500,6063,10,0,0
3600,6063,4,0,0
3700,5596,83,0,0
3800,4967,293,0,0
3900,5099,62,0,0
4000,5131,7,0,0
4100,5130,6,0,0
4200,5040,11,0,0
4300,4273,310,0,0
4400,4393,78,0,0
4500,4414,23,0,0
4600,4409,14,0,0
4700,4409,11,0,0
4800,3735,237,0,0
4900,3761,119,0,0
5000,3808,42,0,0
5100,3824,23,0,0
5200,3820,10,0,0
5300,3413,180,0,0
5400,3256,176,0,0
5500,3327,73,0,0
5600,3352,22,0,0
5700,3347,24,0,0
5800,3116,82,0,0
5900,2826,232,0,0
6000,2910,86,0,0
6100,2937,34,0,0
6200,2957,22,0,0
6300,2879,25,0,0
6400,2475,237,0,0
6500,2574,104,0,0
6600,2598,64,0,0
6700,2611,31,0,0
6800,2611,26,0,0
6900,2275,150,0,0
7000,2276,134,0,0
7100,2331,79,0,0
7200,2356,37,0,0
7300,2354,26,0,0
7400,2141,117,0,0
7500,2078,152,0,0
7600,2140,76,0,0
7700,2169,56,0,0
7800,2170,40,0,0
7900,2056,50,0,0
8000,1882,187,0,0
8100,1964,111,0,0
8200,2012,75,0,0
8300,2041,69,0,0
8400,2021,47,0,0
8500,1833,139,0,0
8600,1894,128,0,0
8700,1943,70,0,0
8800,1963,62,0,0
8900,1953,51,0,0
9000,1756,123,0,0
