update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,200080,0,0,0,0
200,200115,0,0,0,0
300,200110,0,0,0,0
400,200080,0,0,0,0
500,200125,0,0,0,0
600,179425,0,0,0,0
700,172590,0,0,0,0
800,172570,0,0,0,0
900,172555,0,0,0,0
1000,172600,0,0,0,0
1100,161365,0,0,0,0
1200,150475,0,0,0,0
1300,150405,0,0,0,0
1400,150375,0,0,0,0
1500,150335,0,0,0,0
1600,145700,0,0,0,0
1700,132610,0,0,0,0
1800,132580,0,0,0,0
1900,132595,0,0,0,0
2000,132585,0,0,0,0
2100,132400,0,0,0,0
2200,118250,0,0,0,0
2300,118325,0,0,0,0
2400,118325,0,0,0,0
2500,118080,0,0,0,0
2600,118060,0,0,0,0
2700,108485,0,0,0,0
2800,105960,0,0,0,0
2900,105905,0,0,0,0
3000,105870,0,0,0,0
3100,105785,0,0,0,0
3200,99790,0,0,0,0
3300,94220,0,0,0,0
3400,94105,0,0,0,0
3500,94000,0,0,0,0
3600,93985,0,0,0,0
3700,91460,0,0,0,0
3800,84545,0,0,0,0
3900,84355,0,0,0,0
4000,84370,0,0,0,0
4100,84340,0,0,0,0
4200,84035,0,0,0,0
4300,75565,0,0,0,0
4400,75405,0,0,0,0
4500,75345,0,0,0,0
4600,75310,0,0,0,0
4700,75030,0,0,0,0
4800,70365,0,0,0,0
4900,68745,0,0,0,0
5000,68835,0,0,0,0
5100,68665,0,0,0,0
5200,68465,0,0,0,0
5300,65395,0,0,0,0
5400,62340,0,0,0,0
5500,62220,0,0,0,0
5600,62260,0,0,0,0
5700,62145,0,0,0,0
5800,60525,0,0,0,0
5900,56660,0,0,0,0
6000,56535,0,0,0,0
6100,56415,0,0,0,0
6200,56305,0,0,0,0
6300,55955,0,0,0,0
6400,51270,0,0,0,0
6500,51195,0,0,0,0
6600,51055,0,0,0,0
6700,50960,0,0,0,0
6800,50765,0,0,0,0
6900,47225,0,0,0,0
7000,46280,0,0,0,0
7100,46065,0,0,0,0
7200,45945,0,0,0,0
7300,45685,0,0,0,0
7400,43225,0,0,0,0
7500,41080,0,0,0,0
7600,40865,0,0,0,0
7700,40845,0,0,0,0
7800,40630,0,0,0,0
7900,39230,0,0,0,0
8000,36630,0,0,0,0
8100,36435,0,0,0,0
8200,36265,0,0,0,0
8300,36075,0,0,0,0
8400,35820,0,0,0,0
8500,32840,0,0,0,0
8600,32475,0,0,0,0
8700,32320,0,0,0,0
8800,32100,0,0,0,0
8900,31735,0,0,0,0
9000,29300,0,0,0,0
9100,28610,0,0,0,0
9200,28365,0,0,0,0
9300,28010,0,0,0,0
9400,27855,0,0,0,0
9500,26865,0,0,0,0
9600,26160,0,0,0,0
9700,25765,0,0,0,0
9800,25495,0,0,0,0
9900,24995,0,0,0,0
10000,24185,0,0,0,0
10100,23460,0,0,0,0
10200,23415,0,0,0,0
10300,23195,0,0,0,0
10400,22850,0,0,0,0
10500,23120,0,0,0,0
10600,21770,0,0,0,0
10700,21330,0,0,0,0
10800,20955,0,0,0,0
10900,20770,0,0,0,0
11000,20640,0,0,0,0
11100,19475,0,0,0,0
11200,18585,0,0,0,0
11300,18260,0,0,0,0
11400,17890,0,0,0,0
11500,17595,0,0,0,0
11600,17120,0,0,0,0
11700,16330,0,0,0,0
11800,15955,0,0,0,0
11900,15730,0,0,0,0
12000,15920,0,0,0,0
12100,15775,0,0,0,0
12200,15190,0,0,0,0
12300,14850,0,0,0,0
12400,14700,0,0,0,0
12500,14430,0,0,0,0
12600,13945,0,0,0,0
12700,13745,0,0,0,0
12800,13485,0,0,0,0
12900,13305,0,0,0,0
13000,13195,0,0,0,0
13100,12755,0,0,0,0
13200,12280,0,0,0,0
13300,12070,0,0,0,0
13400,12120,0,0,0,0
13500,12015,0,0,0,0
13600,11665,0,0,0,0
13700,11505,0,0,0,0
13800,11315,0,0,0,0
13900,10900,0,0,0,0
14000,10885,0,0,0,0
14100,10745,0,0,0,0
14200,10695,0,0,0,0
14300,10625,0,0,0,0
14400,10485,0,0,0,0
14500,10370,0,0,0,0
14600,9925,0,0,0,0
14700,9760,0,0,0,0
14800,9385,0,0,0,0
14900,9190,0,0,0,0
15000,9165,0,0,0,0
15100,9215,0,0,0,0
15200,9070,0,0,0,0
15300,8830,0,0,0,0
15400,8740,0,0,0,0
15500,8550,0,0,0,0
15600,8255,0,0,0,0
