parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000110101,1,0,246,66
000101100,1,0,60,20
000010100,6,2,50,22
000100100,2,1,39,15
000000011,1,2,198,48
000000010,6,2,7,4
000001011,1,0,220,55
000000000,9735,137,0,0
000110000,1,0,46,21
000001110,1,0,61,22
000011100,2,1,69,27
000001010,4,1,32,11
000100000,5,2,13,3
000000100,11,2,23,11
000110100,5,1,57,26
000001100,2,2,53,16
000000001,182,36,6,10
000011010,0,1,64,26
000011000,6,0,51,23
000010000,14,7,24,10
000001001,1,1,214,52
000101000,1,1,42,11
000000101,1,2,219,53
000111100,2,0,74,30
000001000,8,1,21,7
000010001,1,3,223,55
000010101,0,2,241,61
