update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,10015,0,0,0
200,20014,0,0,0
300,20027,0,0,0
400,20008,0,0,0
500,20025,0,30,30
600,16728,0,2214,2214
700,17061,0,1,1
800,17063,0,1,1
900,17062,0,0,0
1000,17049,0,2,2
1100,15249,0,2230,2230
1200,14657,0,2,2
1300,14657,0,1,1
1400,14653,0,3,3
1500,14654,0,2,2
1600,13412,0,2133,2133
1700,12738,0,7,7
1800,12773,0,3,3
1900,12772,0,3,3
2000,12779,0,3,3
2100,12568,0,2064,2064
2200,10808,0,43,43
2300,11175,0,6,6
2400,11174,0,4,4
2500,11181,0,5,5
2600,11156,0,125,125
2700,9664,0,1978,1978
2800,9864,0,4,4
2900,9858,0,9,9
3000,9841,0,7,7
3100,9838,0,24,24
3200,8775,0,2029,2029
3300,8794,0,15,15
3400,8788,0,13,13
3500,8775,0,14,14
3600,8771,0,18,18
3700,8109,0,2018,2018
3800,7813,0,35,35
3900,7851,0,14,14
4000,7838,0,17,17
4100,7830,0,10,10
4200,7649,0,1902,1902
4300,6880,0,146,146
4400,7182,0,17,17
4500,7165,0,19,19
4600,7156,0,16,16
4700,7133,0,187,187
4800,6289,0,1793,1793
4900,6455,0,40,40
5000,6453,0,32,32
5100,6435,0,38,38
5200,6430,0,61,61
5300,5752,0,1869,1869
5400,5781,0,63,63
5500,5776,0,37,37
5600,5737,0,39,39
5700,5714,0,49,49
5800,5316,0,1749,1749
5900,5167,0,148,148
6000,5192,0,57,57
6100,5161,0,53,53
6200,5131,0,67,67
6300,4998,0,1474,1474
6400,4556,0,340,340
6500,4696,0,96,96
6600,4661,0,92,92
6700,4619,0,116,116
6800,4533,0,255,255
6900,4081,0,1334,1334
7000,4127,0,147,147
7100,4058,0,162,162
7200,4007,0,196,196
7300,3933,0,247,247
7400,3732,0,915,915
7500,3665,0,304,304
7600,3581,0,299,299
7700,3493,0,309,309
7800,3405,0,337,337
7900,3297,0,495,495
8000,3146,0,406,406
8100,3078,0,353,353
8200,2996,0,348,348
8300,2948,0,343,343
8400,2859,0,386,386
8500,2756,0,457,457
8600,2669,0,358,358
8700,2600,0,349,349
8800,2532,0,350,350
