parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001011,0,1,326,420
000100010,0,2,45,177
000011010,0,2,86,449
000010010,0,2,60,339
000001101,1,0,337,566
000010101,2,1,341,639
000010001,1,8,316,478
000110001,1,0,333,568
000100100,5,6,58,310
001000000,0,2,1,0
000000100,13,133,36,94
000000010,15,47,3,22
000000011,1,5,299,278
000001000,13,87,22,69
000111100,2,3,101,604
000101100,1,4,82,433
000010000,19,160,23,116
000100001,2,1,302,330
000110000,0,12,61,347
000100000,11,66,16,46
000001010,1,9,51,204
000011100,3,9,87,529
000000001,264,196,19,24
000001100,6,10,63,346
000110100,2,10,82,495
000001001,5,5,305,364
000000101,2,2,321,441
000000000,9617,9143,0,0
000000110,1,1,65,294
001010100,1,0,70,434
000010100,6,47,65,385
000110101,2,0,352,712
000111000,0,4,87,467
000101000,0,4,58,249
000011000,1,17,68,379
000111101,1,0,367,808
000011101,1,1,356,739
