update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
22600,28080,0,0,0,0
22700,28660,0,0,0,0
22800,28075,0,0,0,0
22900,27305,0,0,0,0
23000,26550,0,0,0,0
23100,27260,0,0,0,0
23200,27595,0,0,0,0
23300,29235,0,0,0,0
23400,30500,0,0,0,0
23500,30735,0,0,0,0
23600,30315,0,0,0,0
23700,29570,0,0,0,0
23800,29800,0,0,0,0
23900,30595,0,0,0,0
24000,31225,0,0,0,0
24100,30950,0,0,0,0
24200,31385,0,0,0,0
24300,30260,0,0,0,0
24400,29980,0,0,0,0
24500,30190,0,0,0,0
24600,30240,0,0,0,0
24700,31320,0,0,0,0
24800,33220,0,0,0,0
24900,33730,0,0,0,0
25000,34040,0,0,0,0
25100,34285,0,0,0,0
25200,34225,0,0,0,0
25300,33760,0,0,0,0
25400,32885,0,0,0,0
25500,32480,0,0,0,0
25600,34220,0,0,0,0
25700,34870,0,0,0,0
25800,34365,0,0,0,0
25900,34390,0,0,0,0
26000,35860,0,0,0,0
26100,35165,0,0,0,0
26200,33495,0,0,0,0
26300,33695,0,0,0,0
26400,33820,0,0,0,0
26500,34275,0,0,0,0
26600,33940,0,0,0,0
26700,33960,0,0,0,0
26800,33125,0,0,0,0
26900,32480,0,0,0,0
27000,31850,0,0,0,0
27100,31005,0,0,0,0
27200,31070,0,0,0,0
27300,30710,0,0,0,0
27400,30110,0,0,0,0
27500,29690,0,0,0,0
27600,28140,0,0,0,0
27700,27680,0,0,0,0
27800,26700,0,0,0,0
27900,26060,0,0,0,0
28000,26565,0,0,0,0
28100,26750,0,0,0,0
28200,26770,0,0,0,0
28300,26020,0,0,0,0
28400,26065,0,0,0,0
28500,26190,0,0,0,0
28600,24710,0,0,0,0
28700,24780,0,0,0,0
28800,25320,0,0,0,0
28900,25755,0,0,0,0
29000,24990,0,0,0,0
29100,24130,0,0,0,0
29200,23445,0,0,0,0
29300,23340,0,0,0,0
29400,23870,0,0,0,0
29500,24175,0,0,0,0
29600,23435,0,0,0,0
29700,22245,0,0,0,0
29800,21835,0,0,0,0
29900,20995,0,0,0,0
30000,20885,0,0,0,0
30100,21515,0,0,0,0
30200,22150,0,0,0,0
30300,21760,0,0,0,0
30400,22805,0,0,0,0
30500,22480,0,0,0,0
30600,22155,0,0,0,0
30700,22970,0,0,0,0
30800,23275,0,0,0,0
30900,23020,0,0,0,0
31000,21945,0,0,0,0
31100,22315,0,0,0,0
31200,22890,0,0,0,0
31300,23540,0,0,0,0
31400,22840,0,0,0,0
31500,22380,0,0,0,0
31600,22100,0,0,0,0
31700,21270,0,0,0,0
31800,21195,0,0,0,0
31900,20325,0,0,0,0
32000,19550,0,0,0,0
32100,19530,0,0,0,0
32200,19445,0,0,0,0
32300,19490,0,0,0,0
32400,18425,0,0,0,0
32500,18360,0,0,0,0
32600,17775,0,0,0,0
32700,17625,0,0,0,0
32800,17985,0,0,0,0
32900,18455,0,0,0,0
33000,18780,0,0,0,0
33100,19195,0,0,0,0
33200,19180,0,0,0,0
33300,20155,0,0,0,0
33400,19805,0,0,0,0
33500,18660,0,0,0,0
33600,18560,0,0,0,0
33700,18600,0,0,0,0
33800,18290,0,0,0,0
33900,18580,0,0,0,0
34000,18365,0,0,0,0
34100,18685,0,0,0,0
34200,18930,0,0,0,0
34300,18570,0,0,0,0
34400,18345,0,0,0,0
34500,18080,0,0,0,0
34600,18130,0,0,0,0
34700,18350,0,0,0,0
34800,17465,0,0,0,0
34900,17700,0,0,0,0
35000,18020,0,0,0,0
35100,16865,0,0,0,0
35200,16670,0,0,0,0
35300,16385,0,0,0,0
35400,16760,0,0,0,0
35500,16885,0,0,0,0
35600,16450,0,0,0,0
35700,16335,0,0,0,0
35800,16270,0,0,0,0
35900,16765,0,0,0,0
36000,16930,0,0,0,0
36100,16730,0,0,0,0
36200,16580,0,0,0,0
36300,15735,0,0,0,0
36400,14825,0,0,0,0
36500,14635,0,0,0,0
36600,15550,0,0,0,0
36700,15920,0,0,0,0
36800,15835,0,0,0,0
36900,15300,0,0,0,0
37000,15265,0,0,0,0
37100,15575,0,0,0,0
37200,15070,0,0,0,0
37300,15090,0,0,0,0
37400,15235,0,0,0,0
37500,15290,0,0,0,0
37600,14880,0,0,0,0
37700,15055,0,0,0,0
37800,15850,0,0,0,0
37900,16430,0,0,0,0
38000,17635,0,0,0,0
38100,17485,0,0,0,0
38200,17325,0,0,0,0
38300,17440,0,0,0,0
38400,17825,0,0,0,0
38500,18095,0,0,0,0
38600,18475,0,0,0,0
38700,18030,0,0,0,0
38800,18600,0,0,0,0
38900,18775,0,0,0,0
39000,17575,0,0,0,0
39100,18170,0,0,0,0
39200,19105,0,0,0,0
39300,19660,0,0,0,0
39400,20730,0,0,0,0
39500,20530,0,0,0,0
39600,20825,0,0,0,0
39700,20555,0,0,0,0
39800,20370,0,0,0,0
39900,19575,0,0,0,0
40000,19165,0,0,0,0
40100,18390,0,0,0,0
40200,18790,0,0,0,0
40300,18920,0,0,0,0
40400,18960,0,0,0,0
40500,18270,0,0,0,0
40600,17990,0,0,0,0
40700,18015,0,0,0,0
40800,18250,0,0,0,0
40900,18940,0,0,0,0
41000,19015,0,0,0,0
41100,18475,0,0,0,0
41200,18260,0,0,0,0
41300,18210,0,0,0,0
41400,18155,0,0,0,0
41500,18395,0,0,0,0
41600,18320,0,0,0,0
41700,18430,0,0,0,0
41800,18135,0,0,0,0
41900,17650,0,0,0,0
42000,17590,0,0,0,0
42100,17895,0,0,0,0
42200,18080,0,0,0,0
42300,18515,0,0,0,0
42400,18460,0,0,0,0
42500,18480,0,0,0,0
42600,18155,0,0,0,0
42700,18585,0,0,0,0
42800,18095,0,0,0,0
42900,17820,0,0,0,0
43000,17670,0,0,0,0
43100,17920,0,0,0,0
43200,18880,0,0,0,0
43300,19595,0,0,0,0
43400,19340,0,0,0,0
43500,18245,0,0,0,0
43600,17695,0,0,0,0
43700,16735,0,0,0,0
43800,16740,0,0,0,0
43900,17065,0,0,0,0
44000,16960,0,0,0,0
44100,16295,0,0,0,0
44200,15405,0,0,0,0
44300,15335,0,0,0,0
44400,16090,0,0,0,0
44500,16095,0,0,0,0
44600,16260,0,0,0,0
44700,16550,0,0,0,0
44800,16780,0,0,0,0
44900,16775,0,0,0,0
45000,16960,0,0,0,0
45100,16440,0,0,0,0
45200,16645,0,0,0,0
45300,16760,0,0,0,0
45400,17405,0,0,0,0
45500,18125,0,0,0,0
45600,17790,0,0,0,0
45700,17605,0,0,0,0
45800,17370,0,0,0,0
45900,17470,0,0,0,0
46000,17960,0,0,0,0
46100,18300,0,0,0,0
46200,17350,0,0,0,0
46300,16470,0,0,0,0
46400,16975,0,0,0,0
46500,16975,0,0,0,0
46600,16730,0,0,0,0
46700,16340,0,0,0,0
46800,17225,0,0,0,0
46900,17850,0,0,0,0
47000,17525,0,0,0,0
47100,17600,0,0,0,0
47200,17215,0,0,0,0
47300,17615,0,0,0,0
47400,18690,0,0,0,0
47500,18895,0,0,0,0
47600,18445,0,0,0,0
47700,19330,0,0,0,0
47800,19735,0,0,0,0
47900,20275,0,0,0,0
48000,20535,0,0,0,0
48100,19710,0,0,0,0
48200,19315,0,0,0,0
48300,19335,0,0,0,0
48400,19755,0,0,0,0
48500,20265,0,0,0,0
48600,20580,0,0,0,0
48700,20960,0,0,0,0
48800,21255,0,0,0,0
48900,21895,0,0,0,0
49000,22310,0,0,0,0
49100,21945,0,0,0,0
49200,22060,0,0,0,0
49300,20705,0,0,0,0
49400,20615,0,0,0,0
49500,20255,0,0,0,0
49600,20070,0,0,0,0
49700,19865,0,0,0,0
49800,20185,0,0,0,0
49900,19930,0,0,0,0
50000,20175,0,0,0,0
50100,19855,0,0,0,0
50200,20005,0,0,0,0
50300,19790,0,0,0,0
50400,19560,0,0,0,0
50500,19710,0,0,0,0
50600,19395,0,0,0,0
50700,18645,0,0,0,0
50800,18085,0,0,0,0
50900,18430,0,0,0,0
51000,16935,0,0,0,0
51100,17190,0,0,0,0
51200,18325,0,0,0,0
51300,18490,0,0,0,0
51400,18765,0,0,0,0
51500,18830,0,0,0,0
51600,19600,0,0,0,0
51700,19905,0,0,0,0
51800,20375,0,0,0,0
51900,20270,0,0,0,0
52000,20030,0,0,0,0
52100,20425,0,0,0,0
52200,20450,0,0,0,0
52300,20205,0,0,0,0
52400,21100,0,0,0,0
52500,21315,0,0,0,0
52600,21205,0,0,0,0
52700,21065,0,0,0,0
52800,20625,0,0,0,0
52900,20420,0,0,0,0
53000,20055,0,0,0,0
53100,20390,0,0,0,0
53200,20420,0,0,0,0
53300,19840,0,0,0,0
53400,20105,0,0,0,0
53500,20245,0,0,0,0
53600,21075,0,0,0,0
53700,21275,0,0,0,0
53800,21935,0,0,0,0
53900,22020,0,0,0,0
54000,22105,0,0,0,0
54100,21235,0,0,0,0
54200,21180,0,0,0,0
54300,21285,0,0,0,0
54400,21460,0,0,0,0
54500,21580,0,0,0,0
54600,21405,0,0,0,0
54700,20990,0,0,0,0
54800,20880,0,0,0,0
54900,20485,0,0,0,0
55000,21680,0,0,0,0
55100,21615,0,0,0,0
55200,22285,0,0,0,0
55300,23595,0,0,0,0
55400,24770,0,0,0,0
55500,25175,0,0,0,0
55600,24315,0,0,0,0
55700,24990,0,0,0,0
55800,25920,0,0,0,0
55900,25990,0,0,0,0
56000,25265,0,0,0,0
56100,25490,0,0,0,0
56200,26145,0,0,0,0
56300,25790,0,0,0,0
56400,25325,0,0,0,0
56500,25325,0,0,0,0
56600,25890,0,0,0,0
56700,25700,0,0,0,0
56800,24655,0,0,0,0
56900,23865,0,0,0,0
57000,24460,0,0,0,0
57100,24125,0,0,0,0
57200,23510,0,0,0,0
57300,23375,0,0,0,0
57400,22985,0,0,0,0
57500,23420,0,0,0,0
57600,24440,0,0,0,0
57700,25580,0,0,0,0
57800,26530,0,0,0,0
57900,26460,0,0,0,0
58000,25450,0,0,0,0
58100,24255,0,0,0,0
58200,24925,0,0,0,0
58300,24620,0,0,0,0
58400,24245,0,0,0,0
58500,25840,0,0,0,0
58600,26510,0,0,0,0
58700,26120,0,0,0,0
58800,24870,0,0,0,0
58900,24965,0,0,0,0
59000,25385,0,0,0,0
59100,24785,0,0,0,0
59200,25010,0,0,0,0
59300,25365,0,0,0,0
59400,25035,0,0,0,0
59500,24935,0,0,0,0
59600,25160,0,0,0,0
59700,24605,0,0,0,0
59800,23920,0,0,0,0
59900,23715,0,0,0,0
60000,23640,0,0,0,0
60100,23165,0,0,0,0
60200,22750,0,0,0,0
60300,22740,0,0,0,0
60400,22480,0,0,0,0
60500,21660,0,0,0,0
60600,20485,0,0,0,0
60700,20585,0,0,0,0
60800,20410,0,0,0,0
60900,19910,0,0,0,0
61000,20310,0,0,0,0
61100,20175,0,0,0,0
61200,19385,0,0,0,0
61300,19445,0,0,0,0
61400,19825,0,0,0,0
61500,19790,0,0,0,0
61600,18330,0,0,0,0
61700,18080,0,0,0,0
61800,18905,0,0,0,0
61900,18265,0,0,0,0
62000,17560,0,0,0,0
62100,17485,0,0,0,0
62200,17685,0,0,0,0
62300,19045,0,0,0,0
62400,18365,0,0,0,0
62500,17385,0,0,0,0
62600,17050,0,0,0,0
62700,17155,0,0,0,0
62800,17425,0,0,0,0
62900,17610,0,0,0,0
63000,17535,0,0,0,0
63100,17825,0,0,0,0
63200,17720,0,0,0,0
63300,18440,0,0,0,0
63400,18050,0,0,0,0
63500,18085,0,0,0,0
63600,18360,0,0,0,0
63700,17905,0,0,0,0
63800,18315,0,0,0,0
63900,19545,0,0,0,0
64000,20310,0,0,0,0
64100,20985,0,0,0,0
64200,21590,0,0,0,0
64300,21205,0,0,0,0
64400,20940,0,0,0,0
64500,21440,0,0,0,0
64600,21300,0,0,0,0
64700,20980,0,0,0,0
