update,count,hosted_syms
36900,10000,624
37000,10000,624
37100,10000,613
37200,10000,609
37300,10000,608
37400,10000,607
37500,10000,604
37600,10000,610
37700,10000,617
37800,10000,613
37900,10000,597
38000,10000,595
38100,10000,599
38200,10000,603
38300,10000,592
38400,10000,584
38500,10000,581
38600,10000,572
38700,10000,563
38800,10000,558
38900,10000,553
39000,10000,560
39100,10000,559
39200,10000,541
39300,10000,550
39400,10000,551
39500,10000,541
39600,10000,525
39700,10000,505
39800,10000,508
39900,10000,506
40000,10000,496
40100,10000,510
40200,10000,503
40300,10000,501
40400,10000,501
40500,10000,509
40600,10000,510
40700,10000,513
40800,10000,525
40900,10000,527
41000,10000,523
41100,10000,526
41200,10000,527
41300,10000,531
41400,10000,528
41500,10000,519
41600,10000,504
41700,10000,509
41800,10000,499
41900,10000,491
42000,10000,490
42100,10000,489
42200,10000,488
42300,10000,497
42400,10000,497
42500,10000,502
42600,10000,502
42700,10000,500
42800,10000,504
42900,10000,506
43000,10000,504
43100,10000,497
43200,10000,500
43300,10000,492
43400,10000,496
43500,10000,492
43600,10000,487
43700,10000,482
43800,10000,475
43900,10000,468
44000,10000,470
44100,10000,465
44200,10000,462
44300,10000,466
44400,10000,459
44500,10000,459
44600,10000,460
44700,10000,463
44800,10000,467
44900,10000,468
45000,10000,472
45100,10000,468
45200,10000,473
45300,10000,470
45400,10000,461
45500,10000,465
45600,10000,464
45700,10000,467
45800,10000,461
45900,10000,469
46000,10000,462
46100,10000,464
46200,10000,475
46300,10000,479
46400,10000,472
46500,10000,474
46600,10000,471
46700,10000,469
46800,10000,469
46900,10000,475
47000,10000,474
47100,10000,481
47200,10000,474
47300,10000,481
47400,10000,478
47500,10000,475
47600,10000,475
47700,10000,462
47800,10000,465
47900,10000,465
48000,10000,467
48100,10000,466
48200,10000,465
48300,10000,465
48400,10000,469
48500,10000,452
48600,10000,450
48700,10000,454
48800,10000,458
48900,10000,457
49000,10000,449
49100,10000,446
49200,10000,447
49300,10000,443
49400,10000,441
49500,10000,435
49600,10000,442
49700,10000,450
49800,10000,442
49900,10000,434
50000,10000,434
50100,10000,436
50200,10000,432
50300,10000,427
50400,10000,415
50500,10000,417
50600,10000,416
50700,10000,420
50800,10000,421
50900,10000,414
51000,10000,409
51100,10000,401
51200,10000,404
51300,10000,396
51400,10000,387
51500,10000,386
51600,10000,381
51700,10000,378
51800,10000,380
51900,10000,380
52000,10000,381
52100,10000,381
52200,10000,390
52300,10000,391
52400,10000,389
52500,10000,399
52600,10000,398
52700,10000,394
52800,10000,395
52900,10000,381
53000,10000,376
53100,10000,384
53200,10000,388
53300,10000,393
53400,10000,386
53500,10000,391
53600,10000,395
53700,10000,393
53800,10000,394
53900,10000,397
54000,10000,402
54100,10000,402
54200,10000,413
54300,10000,405
54400,10000,398
54500,10000,387
54600,10000,397
54700,10000,401
54800,10000,405
54900,10000,410
55000,10000,408
55100,10000,399
55200,10000,391
55300,10000,391
55400,10000,378
55500,10000,382
55600,10000,386
55700,10000,390
55800,10000,385
55900,10000,381
56000,10000,384
56100,10000,389
56200,10000,386
56300,10000,383
56400,10000,377
56500,10000,376
56600,10000,373
56700,10000,378
56800,10000,375
56900,10000,372
57000,10000,367
57100,10000,360
57200,10000,364
57300,10000,366
57400,10000,360
57500,10000,361
57600,10000,362
57700,10000,363
57800,10000,367
57900,10000,363
58000,10000,364
58100,10000,361
58200,10000,355
58300,10000,343
58400,10000,345
58500,10000,350
58600,10000,346
58700,10000,349
58800,10000,350
58900,10000,360
59000,10000,353
59100,10000,352
59200,10000,350
59300,10000,353
59400,10000,355
59500,10000,371
59600,10000,369
59700,10000,371
59800,10000,375
59900,10000,374
60000,10000,369
60100,10000,372
60200,10000,367
60300,10000,363
60400,10000,361
60500,10000,360
60600,10000,357
60700,10000,356
60800,10000,351
60900,10000,347
61000,10000,348
61100,10000,352
61200,10000,344
61300,10000,356
61400,10000,356
61500,10000,353
61600,10000,355
61700,10000,354
61800,10000,357
61900,10000,366
62000,10000,363
62100,10000,361
62200,10000,355
62300,10000,358
62400,10000,353
62500,10000,351
62600,10000,352
62700,10000,341
62800,10000,340
62900,10000,336
63000,10000,337
63100,10000,327
63200,10000,340
63300,10000,337
63400,10000,337
63500,10000,335
63600,10000,331
63700,10000,329
63800,10000,318
63900,10000,317
64000,10000,313
64100,10000,316
64200,10000,297
64300,10000,299
64400,10000,299
64500,10000,292
64600,10000,291
64700,10000,295
64800,10000,290
64900,10000,295
65000,10000,295
65100,10000,294
65200,10000,286
65300,10000,281
65400,10000,282
65500,10000,281
65600,10000,280
65700,10000,282
65800,10000,287
65900,10000,289
66000,10000,286
66100,10000,289
66200,10000,292
66300,10000,287
66400,10000,288
66500,10000,289
66600,10000,288
66700,10000,279
66800,10000,289
66900,10000,290
67000,10000,292
67100,10000,291
67200,10000,288
67300,10000,282
67400,10000,282
67500,10000,286
67600,10000,296
67700,10000,294
67800,10000,289
67900,10000,289
68000,10000,295
68100,10000,295
68200,10000,303
68300,10000,309
68400,10000,311
68500,10000,308
68600,10000,310
68700,10000,312
68800,10000,308
68900,10000,309
69000,10000,313
69100,10000,309
69200,10000,306
69300,10000,301
69400,10000,298
69500,10000,303
69600,10000,285
69700,10000,282
69800,10000,284
69900,10000,281
70000,10000,275
70100,10000,269
70200,10000,265
70300,10000,267
70400,10000,265
70500,10000,263
70600,10000,270
70700,10000,259
70800,10000,263
70900,10000,261
71000,10000,262
71100,10000,264
71200,10000,269
71300,10000,274
71400,10000,268
71500,10000,264
71600,10000,267
71700,10000,275
71800,10000,279
71900,10000,273
72000,10000,264
72100,10000,263
72200,10000,270
72300,10000,266
72400,10000,277
72500,10000,274
72600,10000,277
72700,10000,273
72800,10000,279
72900,10000,279
73000,10000,280
73100,10000,284
73200,10000,285
73300,10000,279
73400,10000,283
73500,10000,274
73600,10000,273
73700,10000,283
73800,10000,274
73900,10000,272
74000,10000,278
74100,10000,284
74200,10000,280
74300,10000,271
74400,10000,277
74500,10000,279
74600,10000,283
74700,10000,287
74800,10000,293
74900,10000,293
75000,10000,289
75100,10000,299
75200,10000,297
75300,10000,293
75400,10000,282
75500,10000,281
75600,10000,286
75700,10000,282
75800,10000,286
75900,10000,285
76000,10000,287
76100,10000,292
76200,10000,293
76300,10000,291
76400,10000,287
76500,10000,293
76600,10000,299
76700,10000,298
76800,10000,296
76900,10000,304
77000,10000,306
77100,10000,305
77200,10000,301
77300,10000,306
77400,10000,306
77500,10000,304
77600,10000,297
77700,10000,297
77800,10000,300
77900,10000,302
78000,10000,311
78100,10000,312
78200,10000,315
78300,10000,315
78400,10000,305
78500,10000,302
78600,10000,300
78700,10000,292
78800,10000,304
78900,10000,305
79000,10000,309
79100,10000,305
79200,10000,305
79300,10000,313
79400,10000,310
79500,10000,315
79600,10000,309
79700,10000,304
79800,10000,299
79900,10000,303
80000,10000,297
80100,10000,292
80200,10000,294
80300,10000,294
80400,10000,288
80500,10000,291
80600,10000,293
80700,10000,295
80800,10000,296
80900,10000,300
81000,10000,301
81100,10000,312
81200,10000,299
81300,10000,293
81400,10000,297
81500,10000,295
81600,10000,293
81700,10000,298
81800,10000,298
81900,10000,291
82000,10000,295
82100,10000,291
82200,10000,287
82300,10000,291
82400,10000,288
82500,10000,289
82600,10000,283
82700,10000,289
82800,10000,293
82900,10000,295
83000,10000,292
83100,10000,287
83200,10000,284
83300,10000,279
83400,10000,281
83500,10000,275
83600,10000,272
83700,10000,276
83800,10000,283
83900,10000,286
84000,10000,282
84100,10000,271
84200,10000,279
84300,10000,281
84400,10000,277
84500,10000,275
84600,10000,279
84700,10000,281
84800,10000,279
84900,10000,275
85000,10000,276
85100,10000,277
85200,10000,271
85300,10000,271
85400,10000,268
85500,10000,268
85600,10000,276
85700,10000,275
85800,10000,273
85900,10000,270
86000,10000,272
86100,10000,274
86200,10000,278
86300,10000,283
86400,10000,283
86500,10000,280
86600,10000,281
86700,10000,282
86800,10000,281
86900,10000,284
87000,10000,277
87100,10000,280
87200,10000,283
87300,10000,283
87400,10000,277
87500,10000,276
87600,10000,272
87700,10000,271
87800,10000,275
87900,10000,280
88000,10000,283
88100,10000,275
88200,10000,274
88300,10000,270
88400,10000,275
88500,10000,279
88600,10000,275
88700,10000,280
88800,10000,283
88900,10000,271
89000,10000,283
89100,10000,285
89200,10000,288
89300,10000,279
89400,10000,275
89500,10000,275
89600,10000,280
89700,10000,285
89800,10000,277
89900,10000,275
90000,10000,280
90100,10000,288
90200,10000,290
90300,10000,299
90400,10000,302
90500,10000,302
90600,10000,300
90700,10000,298
90800,10000,301
90900,10000,289
91000,10000,295
91100,10000,301
91200,10000,306
91300,10000,316
91400,10000,317
91500,10000,325
91600,10000,328
91700,10000,320
91800,10000,325
91900,10000,324
92000,10000,318
92100,10000,318
92200,10000,320
92300,10000,323
92400,10000,327
92500,10000,322
92600,10000,318
92700,10000,316
92800,10000,318
92900,10000,320
93000,10000,319
93100,10000,320
93200,10000,323
93300,10000,327
93400,10000,323
93500,10000,326
93600,10000,334
93700,10000,330
93800,10000,330
93900,10000,324
94000,10000,326
94100,10000,325
94200,10000,324
94300,10000,325
94400,10000,329
94500,10000,330
94600,10000,318
94700,10000,305
94800,10000,308
94900,10000,310
95000,10000,309
95100,10000,314
95200,10000,310
95300,10000,301
95400,10000,300
95500,10000,300
95600,10000,298
95700,10000,302
95800,10000,310
95900,10000,317
96000,10000,313
96100,10000,316
96200,10000,318
96300,10000,310
96400,10000,308
96500,10000,305
96600,10000,305
96700,10000,302
96800,10000,300
96900,10000,293
97000,10000,285
97100,10000,287
97200,10000,283
97300,10000,284
97400,10000,282
97500,10000,285
97600,10000,288
97700,10000,284
97800,10000,279
97900,10000,278
98000,10000,280
98100,10000,273
98200,10000,272
98300,10000,270
98400,10000,271
98500,10000,269
98600,10000,267
98700,10000,273
98800,10000,271
98900,10000,277
99000,10000,276
99100,10000,273
99200,10000,276
99300,10000,272
99400,10000,276
99500,10000,268
99600,10000,266
99700,10000,266
99800,10000,265
99900,10000,267
100000,10000,270
