parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101100,1,0,68,0
000010001,2,0,287,0
000010101,1,0,310,0
000011000,3,0,62,0
000100101,1,0,293,0
000001001,3,0,275,0
000000000,9659,0,0,0
000001000,12,0,19,0
000010100,4,0,62,0
000100100,3,0,45,0
000000100,14,0,22,0
000000011,1,0,265,0
000000010,9,0,8,0
000010000,17,0,26,0
000110101,1,0,317,0
000110100,4,0,70,0
000000001,240,0,10,0
000001100,3,0,56,0
000011010,1,0,74,0
000111000,2,0,75,0
000010010,3,0,53,0
000100001,1,0,268,0
000001010,2,0,42,0
000110000,2,0,54,0
000100000,7,0,15,0
000011100,3,0,80,0
000001110,1,0,71,0
