parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101110,0,1,114,584
000001101,0,1,357,637
000000110,0,1,75,353
000001011,0,1,338,468
000010010,0,3,88,352
000100010,0,3,46,199
000100100,2,10,64,373
000000010,19,51,5,26
000000011,2,8,304,279
000000100,20,154,31,127
000000101,3,1,328,493
000001001,3,5,316,405
000001000,17,110,21,89
000011010,1,3,112,501
000111000,0,3,100,525
000101000,3,7,53,303
000011000,4,17,88,424
000110000,5,15,72,371
000100000,4,73,19,57
000010000,27,154,39,132
000100001,2,1,302,345
000001010,1,4,59,262
000011100,4,17,113,590
000000001,268,194,17,25
000001100,2,21,79,410
000110100,3,7,99,557
000000000,9588,9063,0,0
000110110,0,1,124,627
000111101,0,1,393,885
000011001,1,0,366,645
000011110,0,1,138,668
000111100,2,2,121,682
000101100,0,5,93,518
000010101,1,2,367,687
000010001,3,4,341,493
100110011,1,0,372,652
000010100,13,55,80,425
000110101,1,1,374,771
