parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010011,0,1,296,54
000010001,3,0,284,52
000001101,0,1,283,54
000000101,1,0,274,47
000101000,0,1,32,21
000001001,1,1,258,46
000000000,9672,153,0,0
000110100,2,1,75,29
000001100,2,0,41,22
000000001,232,30,13,5
000011100,2,2,75,29
000100001,2,1,256,43
000100000,6,4,11,6
000110000,2,2,56,22
000100101,1,0,282,54
000011000,1,2,57,24
000010100,5,2,64,22
000100100,1,0,42,21
000110001,1,0,293,57
000010000,23,5,25,13
000011110,0,1,88,34
000011001,2,0,294,58
000000100,16,5,16,8
000000011,2,1,257,39
000000010,9,3,7,4
000010010,5,1,54,21
000001000,7,5,10,9
000111100,2,1,83,35
