parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000111000,0,1,76,21
000101100,2,0,71,20
000011110,1,1,99,30
000000000,9612,179,0,0
000000101,3,0,321,70
000001001,0,2,316,67
000001100,2,0,59,17
000110100,2,0,77,22
000000001,280,58,8,3
000111101,1,0,378,86
000011000,2,1,61,19
000111100,0,1,98,27
000001000,16,4,13,6
000010001,1,0,324,75
000000011,1,0,302,67
000000010,9,5,7,1
000000100,19,6,21,3
000110001,1,0,338,76
000010000,24,8,16,6
000100010,2,0,32,11
000100100,3,0,49,13
000010100,5,1,64,19
000110000,1,1,54,15
000100001,1,1,304,64
000100000,7,1,13,4
000011100,2,0,86,26
000001010,3,0,38,15
