parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001010,0,1,52,185
000001000,13,81,22,62
001000001,0,1,244,223
000100100,2,6,62,260
000010001,3,3,307,464
000000101,4,6,283,378
000001001,2,5,275,354
001000000,0,3,0,1
000000100,14,89,33,82
000000010,11,39,7,7
000000011,2,2,258,263
000110100,1,6,105,440
000000001,232,201,12,20
000001100,3,8,68,281
000100000,9,73,14,40
000110000,1,10,84,333
000011100,5,13,105,445
000010000,33,155,36,96
000100001,1,1,265,330
000000000,9634,9221,0,0
000101000,3,7,47,235
000011000,3,21,87,336
000111000,2,1,101,437
000011010,1,0,103,399
000010010,2,1,81,295
000010110,1,0,105,407
000100010,1,1,39,155
000101010,0,2,66,282
000010100,14,37,78,325
000110101,0,2,342,653
000111100,3,2,118,531
000101100,0,2,83,372
