parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
001000010,0,1,24,46
000000110,0,1,62,197
000010001,0,3,309,335
000010010,3,2,64,222
000110100,7,10,68,345
000000001,253,138,9,19
000001100,1,7,62,231
000001010,4,2,41,137
000100000,6,49,13,42
000011100,1,3,85,371
000110000,0,11,57,238
000100001,0,2,281,244
000010000,20,118,28,66
000000111,1,0,314,349
000110010,0,2,76,286
000011010,2,1,82,303
000000011,4,3,277,195
000000010,10,31,14,14
000010100,11,23,56,276
001000001,0,1,262,158
000100100,0,8,50,215
000001000,13,61,14,37
000000101,3,2,293,307
000001001,0,7,289,240
000000000,9641,9399,0,0
000001011,0,1,302,284
000100010,0,1,43,132
000000100,13,96,26,58
001000000,0,1,0,2
000010101,1,0,323,451
000111100,0,3,92,423
000101100,1,1,68,302
000111000,3,0,72,327
000101000,2,4,38,177
000011000,0,8,69,259
