parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011010,2,0,53,18
000101101,1,0,267,61
000010001,0,1,244,51
000011001,1,0,260,57
000101110,1,0,68,21
000000011,0,1,229,50
000000010,5,5,10,1
000000111,1,0,258,60
000010000,12,4,17,3
000101100,2,0,60,15
000001100,4,0,47,14
000110100,3,1,61,14
000000001,206,44,10,2
000010100,5,0,50,14
000100100,6,0,41,10
000001011,1,0,243,57
000000000,9713,141,0,0
000011100,1,0,66,19
000100001,2,0,236,49
000110000,2,0,46,8
000100000,7,1,18,2
000001010,3,0,30,12
000001001,1,0,236,52
000000101,3,0,244,55
000111100,1,1,75,19
000001000,7,5,18,1
000010010,2,0,38,13
000000100,8,7,28,2
