parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000111,0,1,268,450
000000110,0,1,51,298
000100010,0,5,47,186
000111010,0,1,90,508
000011110,1,1,88,574
000010010,4,4,55,309
000011100,0,5,76,501
000100000,10,63,15,55
000110000,2,12,58,320
000001010,2,1,44,234
001000000,0,1,0,0
000000100,8,129,22,94
000000010,10,59,13,20
000000011,3,5,241,228
000100001,1,2,245,274
000010000,18,132,26,109
000100100,3,10,43,308
000001000,9,94,20,66
000000001,213,146,11,14
000001100,4,15,47,340
000110100,2,6,72,474
000000000,9687,9213,0,0
000011010,2,1,74,433
000111110,1,0,99,640
000111100,0,5,87,571
000101100,1,2,63,435
000010001,1,3,264,395
000001001,2,1,248,318
000000101,2,2,248,378
000111000,2,3,75,440
000101000,1,9,47,249
000011000,3,22,60,341
000111101,1,0,302,727
000010100,6,46,56,355
000110101,1,0,291,632
