parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001011,1,0,241,45
000000101,1,0,233,41
000001110,1,0,70,11
000100000,6,3,14,5
000001010,1,1,44,8
000110000,0,1,63,10
000011100,4,0,82,13
000000010,9,1,8,2
000100001,1,0,218,44
000010000,22,2,28,6
000010101,2,0,261,45
000010001,2,0,243,44
000010100,6,0,63,9
000100100,5,0,43,10
000010010,1,0,61,10
000011110,1,1,94,13
000001000,13,3,22,5
000111100,1,2,92,14
000011010,2,0,78,13
000000001,191,36,10,0
000110100,3,1,74,11
000001100,3,0,58,10
000000000,9707,143,0,0
000001001,1,0,231,44
000000100,9,1,29,4
000111000,1,1,82,14
000101000,1,0,49,13
000011000,2,0,69,12
000111101,1,0,283,52
000011101,1,0,277,49
000111010,1,0,91,16
