update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9999,40000,0,0,1,5,0,1,2,3,0,3,0,0,0,0,0,0
200,9992,40000,0,0,6,7,0,2,2,10,0,6,0,0,0,0,0,0
300,9994,40000,0,0,1,10,1,5,4,14,0,4,0,0,0,0,0,0
400,9998,40000,0,0,1,9,1,7,0,7,0,7,0,0,0,0,0,0
500,9997,40000,0,0,1,10,1,1,0,11,1,1,0,0,0,0,0,0
600,9987,35907,0,0,4,7,2,7,6,6,1,5,0,0,0,0,0,0
700,9996,34554,0,2,2,8,1,3,0,3,1,4,0,0,0,0,0,0
800,9990,34558,0,4,5,8,2,0,2,10,1,2,0,0,0,0,0,0
900,9995,34554,0,2,1,8,2,10,2,6,0,3,0,0,0,0,0,0
1000,9994,34552,0,1,2,7,0,2,3,2,1,4,0,0,0,0,0,0
1100,9984,32382,3,2,4,6,4,2,3,5,2,4,0,0,0,0,0,0
1200,9989,30309,8,2,2,7,0,2,0,12,1,3,0,0,0,0,0,0
1300,9986,30285,8,2,1,5,1,6,3,13,1,0,0,0,0,0,0,0
1400,9981,30294,8,4,4,5,1,2,3,4,3,5,0,0,0,0,0,0
1500,9985,30288,8,3,2,3,0,6,4,4,1,4,0,0,0,0,0,0
1600,9985,29341,8,6,2,8,2,5,3,10,0,2,0,0,0,0,0,0
1700,9978,26654,11,1,4,2,3,5,4,8,0,4,0,0,0,0,0,0
1800,9976,26643,11,5,5,3,2,5,4,11,2,3,0,0,0,0,0,0
1900,9984,26636,8,5,2,6,2,2,1,14,3,2,0,0,0,0,0,0
2000,9984,26626,9,6,3,3,1,0,2,8,1,2,0,0,0,0,0,0
2100,9978,26577,9,5,3,6,3,5,4,5,3,3,0,0,0,0,0,0
2200,9982,23576,10,5,1,6,2,5,3,1,2,4,0,0,0,0,0,0
2300,9978,23582,10,10,2,3,4,1,5,11,1,3,0,0,0,0,0,0
2400,9980,23588,9,10,2,6,4,7,4,6,1,2,0,0,0,0,0,0
2500,9982,23570,9,10,0,6,5,2,3,5,1,3,0,0,0,0,0,0
2600,9988,23549,9,8,1,6,1,7,1,5,0,7,0,0,0,0,0,0
2700,9979,21738,12,10,1,4,1,3,3,3,4,4,0,0,0,0,0,0
2800,9981,21160,9,11,0,1,5,7,2,6,3,2,0,0,0,0,0,0
2900,9984,21151,9,13,2,7,2,11,3,5,0,3,0,0,0,0,0,0
3000,9977,21162,10,15,2,4,3,4,6,4,2,3,0,0,0,0,0,0
3100,9979,21153,8,14,2,3,3,5,7,7,1,1,0,0,0,0,0,0
3200,9976,20143,12,9,0,3,3,6,8,7,0,2,1,0,0,0,0,0
3300,9983,19286,11,10,2,5,3,8,0,9,1,2,0,0,0,0,0,0
3400,9983,19282,13,13,1,6,2,9,1,7,0,1,0,0,0,0,0,0
3500,9979,19264,12,8,2,8,6,6,1,12,0,1,0,0,0,0,0,0
3600,9979,19256,12,8,1,1,1,2,7,4,0,1,0,0,0,0,0,0
3700,9976,18730,10,12,3,2,4,4,5,7,1,6,1,0,0,0,0,0
3800,9971,17401,17,18,3,5,3,4,3,5,3,2,0,0,0,0,0,0
3900,9974,17382,16,19,6,4,1,4,2,2,1,2,0,0,0,0,0,0
4000,9971,17354,15,20,4,4,2,2,5,6,3,4,0,0,0,0,0,0
4100,9975,17309,16,18,2,3,2,4,4,9,1,1,0,0,0,0,0,0
4200,9972,17231,20,20,3,1,3,4,2,8,0,4,0,0,0,0,0,0
4300,9969,15487,24,18,2,6,1,4,3,8,0,1,1,0,0,0,0,0
4400,9967,15434,22,13,5,1,3,4,0,6,2,0,1,0,0,0,0,0
4500,9963,15426,26,13,2,3,2,3,7,5,0,2,0,0,0,0,0,0
4600,9958,15400,32,18,2,1,2,4,4,6,1,2,1,0,0,0,0,0
4700,9925,15370,56,11,5,4,5,4,5,4,2,2,2,0,0,0,0,0
4800,9905,14292,83,11,1,4,5,5,6,11,0,4,0,0,0,0,0,0
4900,9890,13959,98,10,3,3,5,10,4,7,0,4,0,0,0,0,0,0
5000,9898,13927,96,14,2,2,2,5,1,9,1,1,0,0,0,0,0,0
5100,9877,13917,110,13,1,4,4,9,6,6,2,3,0,0,0,0,0,0
5200,9879,13871,111,12,2,2,2,0,5,9,1,1,0,0,0,0,0,0
5300,9867,13263,126,22,1,1,3,4,2,7,1,1,0,0,0,0,0,0
5400,9848,12672,137,22,3,7,4,2,6,4,2,6,0,0,0,0,0,0
5500,9865,12640,122,21,1,6,2,4,5,9,4,0,1,0,0,0,0,0
5600,9863,12604,128,20,2,8,0,4,5,8,1,4,1,1,0,0,0,0
5700,9854,12579,139,19,4,7,0,8,3,4,0,1,0,0,0,0,0,0
5800,9836,12183,149,19,7,2,5,7,3,6,0,1,0,0,0,0,0,0
5900,9854,11213,138,17,3,4,1,3,1,7,3,1,0,1,0,0,0,0
6000,9860,11147,123,25,4,2,4,8,8,6,1,2,0,0,0,0,0,0
6100,9840,11120,146,25,2,2,5,7,5,10,2,2,0,0,0,0,0,0
6200,9827,11065,163,24,2,5,4,4,4,8,0,2,0,3,0,0,0,0
6300,9820,11006,167,20,2,3,2,3,8,7,1,3,0,0,0,0,0,0
6400,9866,10176,123,30,3,5,4,6,4,4,0,1,0,0,0,0,0,0
6500,9861,10133,129,26,1,2,4,5,3,7,2,5,0,0,0,0,0,0
6600,9844,10079,144,26,2,1,6,1,4,3,0,3,0,0,0,0,0,0
6700,9835,10043,144,26,2,4,6,2,12,7,1,0,0,0,0,0,0,0
6800,9842,9948,143,23,4,3,5,5,4,1,2,2,0,0,0,0,0,0
6900,9871,9269,116,27,2,3,1,5,10,7,0,1,0,0,0,0,0,0
7000,9874,9030,110,28,3,3,5,5,5,7,3,1,0,0,0,0,0,0
7100,9882,8949,105,29,1,4,4,5,6,4,1,3,1,0,0,0,0,0
7200,9882,8886,109,33,3,2,2,4,3,14,1,0,0,0,0,0,0,0
7300,9876,8812,101,29,6,2,8,1,7,10,2,2,0,4,0,0,0,0
7400,9878,8370,109,33,1,5,6,1,6,3,0,1,0,0,0,0,0,0
7500,9878,7943,110,37,5,2,4,9,3,9,0,3,0,0,0,0,0,0
7600,9869,7876,112,40,7,0,7,2,5,2,0,2,0,0,0,0,0,0
7700,9860,7802,119,41,4,4,6,3,7,1,4,0,0,0,0,0,0,0
7800,9871,7734,111,35,3,2,8,4,6,3,1,1,0,0,0,0,0,0
7900,9863,7481,117,36,4,7,8,2,5,5,3,0,0,0,0,0,0,0
