parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000001110,0,2,76,471
000110010,0,1,86,450
000001010,0,3,50,232
000101110,0,1,88,546
000011010,0,2,92,484
000010101,0,3,358,656
000111010,1,1,99,579
000000101,4,5,321,451
000001001,2,4,319,366
000001000,11,112,16,67
000101100,0,2,66,492
000111100,2,4,95,667
000010001,6,2,337,477
000001100,1,13,52,404
000000001,277,178,22,20
000110100,1,14,82,538
000000011,5,2,314,259
000000010,16,48,10,17
000010010,1,3,76,344
001000000,0,1,0,0
000000100,14,136,17,131
000100000,7,67,14,68
000011100,2,6,86,595
000110000,4,6,60,390
000010000,24,172,29,117
000100001,1,1,317,331
000000000,9605,9100,0,0
000001011,1,0,338,424
000100100,0,26,48,329
000100010,1,2,43,193
000011101,0,1,371,781
000011001,2,2,355,618
000101010,1,0,63,349
000101000,1,8,41,288
000111000,1,2,78,528
000011000,2,16,68,418
000010100,6,54,66,420
000110101,1,0,367,736
