parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010101,0,1,362,576
000011010,0,1,101,404
001100000,0,1,31,128
000000101,0,5,332,401
000010011,1,0,355,481
001010000,0,1,56,240
000010010,2,1,75,291
000001000,16,98,23,52
000010001,7,5,333,431
000011100,2,8,101,482
000110000,1,10,74,321
000100000,6,71,24,54
000001010,3,2,58,200
000000010,12,38,13,19
000000011,6,10,307,243
001000000,0,3,1,2
000000100,13,119,26,87
000100001,1,3,319,324
000010000,23,137,32,100
000001110,0,2,90,385
000110001,1,1,356,526
000000001,272,177,23,29
000001100,1,7,67,328
000110100,0,14,89,450
000001001,3,4,327,348
000000000,9597,9204,0,0
000111000,1,3,97,441
000101000,2,3,56,262
000011000,3,18,79,336
000100101,1,0,342,497
000100010,1,3,53,176
000111100,6,3,105,565
000101100,1,1,77,423
100000000,1,0,0,0
000101001,1,0,344,463
000100100,7,12,46,289
001000001,1,0,294,211
000010100,7,34,71,349
000110101,1,0,370,655
