parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000110,0,1,79,376
000010111,0,1,379,852
000110010,0,1,108,560
000100110,0,1,100,491
000001001,0,4,334,448
001100000,0,1,29,157
000010011,0,2,363,679
000111010,0,2,130,688
000110100,0,15,104,641
000101100,0,2,97,569
000111100,3,6,120,779
000001000,17,117,30,97
000001101,1,0,353,693
000000101,7,8,316,512
000001110,0,3,107,536
000110001,3,0,351,712
000011010,2,5,113,587
000011011,2,0,383,816
000000010,20,61,15,32
010000000,0,1,0,0
000000011,4,2,317,328
001000000,0,3,0,2
000000100,10,150,36,140
000010001,4,6,337,601
000010101,5,3,352,781
000000001,260,211,32,31
000001100,4,8,76,459
001000001,0,1,292,245
000100100,2,12,65,396
000100000,10,81,19,73
000010000,19,200,46,177
000100001,3,4,310,388
000011100,3,18,107,681
000001010,2,8,73,281
000110000,1,17,81,469
000000000,9593,8936,0,0
000010010,3,6,88,447
000101001,1,0,347,580
000101000,1,8,67,338
000011000,7,29,84,498
000111000,2,4,104,622
000111110,1,0,146,848
000110110,1,0,129,727
000011101,1,0,376,917
000010100,7,62,82,500
000110101,1,0,367,874
