parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100001,0,1,342,88
000010000,19,6,37,14
000000111,1,0,391,101
000101001,1,0,374,104
000001000,21,10,24,8
000111100,2,2,134,51
000000010,13,3,12,4
000000011,4,2,330,78
000010100,13,3,82,31
000100100,5,0,76,32
000000001,299,68,15,7
000110100,3,5,107,36
000001100,1,1,98,38
000100000,10,6,19,9
000011100,5,0,121,46
000001010,2,1,64,22
000110000,2,1,74,26
000001001,3,1,352,91
000000101,3,3,370,93
000000000,9547,224,0,0
000111110,1,0,152,58
000011010,0,1,106,37
000010010,3,0,74,26
000101000,3,0,62,31
000111000,1,0,102,40
000011000,4,2,84,31
000010001,3,0,364,95
000101010,1,0,85,36
000000100,29,10,34,14
001000000,1,0,0,0
