parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101001,0,1,305,82
000111110,0,1,106,43
000010010,1,0,58,24
000000110,0,1,56,25
000100100,5,0,53,27
000010100,9,5,67,21
000000000,9640,207,0,0
000110100,3,0,83,34
000001100,2,0,61,23
000000001,254,57,10,17
000011000,5,0,59,21
000000010,8,4,3,5
000000011,1,3,273,77
000000100,17,5,29,14
000001110,1,0,72,30
000100001,0,3,286,76
000100000,9,4,13,5
000110000,2,0,62,24
000011100,3,1,85,29
000001101,0,1,320,89
000000101,2,3,304,84
000001001,3,0,283,79
000101000,1,0,43,14
000010000,20,3,29,13
000010101,2,2,332,88
000010001,2,4,307,80
000001000,8,3,17,4
000111100,2,0,95,37
