update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,200070,0,0,0,0
200,200135,0,0,0,0
300,200130,0,0,0,0
400,200130,0,0,0,0
500,200110,0,0,0,0
600,180215,0,0,0,0
700,173795,0,0,0,0
800,173795,0,0,0,0
900,173795,0,0,0,0
1000,173760,0,0,0,0
1100,162200,0,0,0,0
1200,150955,0,0,0,0
1300,150925,0,0,0,0
1400,150915,0,0,0,0
1500,150860,0,0,0,0
1600,146175,0,0,0,0
1700,133100,0,0,0,0
1800,133040,0,0,0,0
1900,132910,0,0,0,0
2000,132865,0,0,0,0
2100,132570,0,0,0,0
2200,118455,0,0,0,0
2300,118335,0,0,0,0
2400,118420,0,0,0,0
2500,118315,0,0,0,0
2600,118325,0,0,0,0
2700,108525,0,0,0,0
2800,105510,0,0,0,0
2900,105200,0,0,0,0
3000,105250,0,0,0,0
3100,105080,0,0,0,0
3200,100210,0,0,0,0
3300,95735,0,0,0,0
3400,95730,0,0,0,0
3500,95620,0,0,0,0
3600,95380,0,0,0,0
3700,92710,0,0,0,0
3800,85845,0,0,0,0
3900,85625,0,0,0,0
4000,85425,0,0,0,0
4100,85030,0,0,0,0
4200,84215,0,0,0,0
4300,76925,0,0,0,0
4400,76215,0,0,0,0
4500,75545,0,0,0,0
4600,74665,0,0,0,0
4700,73840,0,0,0,0
4800,69715,0,0,0,0
4900,67415,0,0,0,0
5000,66205,0,0,0,0
5100,64840,0,0,0,0
5200,62885,0,0,0,0
5300,60650,0,0,0,0
5400,58465,0,0,0,0
5500,56665,0,0,0,0
5600,54740,0,0,0,0
5700,52550,0,0,0,0
5800,50695,0,0,0,0
5900,48835,0,0,0,0
6000,47000,0,0,0,0
6100,45310,0,0,0,0
6200,44205,0,0,0,0
6300,42545,0,0,0,0
6400,41165,0,0,0,0
6500,40115,0,0,0,0
6600,38885,0,0,0,0
6700,37460,0,0,0,0
6800,36155,0,0,0,0
6900,35260,0,0,0,0
7000,34350,0,0,0,0
7100,33530,0,0,0,0
7200,32645,0,0,0,0
7300,31905,0,0,0,0
7400,31080,0,0,0,0
7500,30235,0,0,0,0
7600,29095,0,0,0,0
7700,28320,0,0,0,0
7800,27380,0,0,0,0
7900,26815,0,0,0,0
8000,25645,0,0,0,0
8100,24845,0,0,0,0
8200,23885,0,0,0,0
8300,23190,0,0,0,0
8400,22320,0,0,0,0
8500,21950,0,0,0,0
8600,21150,0,0,0,0
8700,20705,0,0,0,0
8800,20040,0,0,0,0
8900,19145,0,0,0,0
9000,18650,0,0,0,0
9100,18200,0,0,0,0
9200,17920,0,0,0,0
9300,17705,0,0,0,0
9400,16995,0,0,0,0
9500,16750,0,0,0,0
9600,16515,0,0,0,0
9700,16180,0,0,0,0
9800,15725,0,0,0,0
9900,15190,0,0,0,0
10000,15045,0,0,0,0
10100,15000,0,0,0,0
10200,14615,0,0,0,0
10300,14285,0,0,0,0
10400,14120,0,0,0,0
10500,13795,0,0,0,0
10600,13675,0,0,0,0
10700,13630,0,0,0,0
10800,13230,0,0,0,0
10900,13040,0,0,0,0
11000,12780,0,0,0,0
11100,12530,0,0,0,0
11200,11995,0,0,0,0
11300,11510,0,0,0,0
11400,11215,0,0,0,0
11500,10845,0,0,0,0
11600,10945,0,0,0,0
11700,11025,0,0,0,0
11800,10885,0,0,0,0
11900,10720,0,0,0,0
12000,10240,0,0,0,0
12100,10265,0,0,0,0
12200,10145,0,0,0,0
12300,9935,0,0,0,0
12400,9715,0,0,0,0
12500,9705,0,0,0,0
12600,9495,0,0,0,0
12700,9265,0,0,0,0
12800,9380,0,0,0,0
12900,9175,0,0,0,0
13000,9300,0,0,0,0
13100,9195,0,0,0,0
13200,8940,0,0,0,0
13300,8825,0,0,0,0
13400,8430,0,0,0,0
13500,8230,0,0,0,0
13600,8125,0,0,0,0
13700,7820,0,0,0,0
13800,7845,0,0,0,0
13900,7340,0,0,0,0
14000,7185,0,0,0,0
14100,7225,0,0,0,0
14200,7065,0,0,0,0
14300,6705,0,0,0,0
14400,6640,0,0,0,0
14500,6420,0,0,0,0
14600,6630,0,0,0,0
14700,6505,0,0,0,0
14800,6460,0,0,0,0
14900,6170,0,0,0,0
15000,6110,0,0,0,0
15100,6210,0,0,0,0
15200,6160,0,0,0,0
15300,6270,0,0,0,0
15400,6045,0,0,0,0
15500,5890,0,0,0,0
15600,5705,0,0,0,0
15700,5680,0,0,0,0
15800,5950,0,0,0,0
15900,5955,0,0,0,0
16000,5935,0,0,0,0
16100,6160,0,0,0,0
16200,6030,0,0,0,0
16300,5755,0,0,0,0
16400,5655,0,0,0,0
16500,5770,0,0,0,0
16600,6045,0,0,0,0
16700,6000,0,0,0,0
16800,5980,0,0,0,0
16900,5590,0,0,0,0
17000,5585,0,0,0,0
17100,5510,0,0,0,0
17200,5380,0,0,0,0
17300,5340,0,0,0,0
17400,5300,0,0,0,0
17500,5220,0,0,0,0
17600,5115,0,0,0,0
17700,5250,0,0,0,0
17800,5230,0,0,0,0
17900,5285,0,0,0,0
18000,5310,0,0,0,0
18100,5200,0,0,0,0
18200,5160,0,0,0,0
18300,5135,0,0,0,0
18400,4955,0,0,0,0
18500,5040,0,0,0,0
18600,5125,0,0,0,0
18700,5145,0,0,0,0
18800,5050,0,0,0,0
18900,5040,0,0,0,0
19000,4970,0,0,0,0
19100,4845,0,0,0,0
19200,5005,0,0,0,0
19300,5015,0,0,0,0
19400,4910,0,0,0,0
19500,4940,0,0,0,0
19600,5000,0,0,0,0
19700,5120,0,0,0,0
19800,4785,0,0,0,0
19900,4800,0,0,0,0
20000,4660,0,0,0,0
20100,4570,0,0,0,0
20200,4385,0,0,0,0
20300,4360,0,0,0,0
20400,4500,0,0,0,0
20500,4610,0,0,0,0
20600,4685,0,0,0,0
20700,4545,0,0,0,0
20800,4600,0,0,0,0
20900,4535,0,0,0,0
21000,4580,0,0,0,0
21100,4605,0,0,0,0
21200,4540,0,0,0,0
21300,4500,0,0,0,0
21400,4540,0,0,0,0
21500,4340,0,0,0,0
21600,4070,0,0,0,0
21700,4060,0,0,0,0
21800,3970,0,0,0,0
21900,4030,0,0,0,0
22000,3930,0,0,0,0
22100,3935,0,0,0,0
22200,3880,0,0,0,0
22300,3895,0,0,0,0
22400,3630,0,0,0,0
22500,3750,0,0,0,0
22600,3885,0,0,0,0
22700,3745,0,0,0,0
22800,3775,0,0,0,0
22900,3730,0,0,0,0
23000,3635,0,0,0,0
23100,3685,0,0,0,0
23200,3525,0,0,0,0
23300,3490,0,0,0,0
23400,3230,0,0,0,0
23500,3100,0,0,0,0
23600,3070,0,0,0,0
23700,3015,0,0,0,0
23800,3410,0,0,0,0
23900,3310,0,0,0,0
24000,3485,0,0,0,0
24100,3320,0,0,0,0
24200,3010,0,0,0,0
24300,3055,0,0,0,0
24400,3105,0,0,0,0
24500,3100,0,0,0,0
24600,3115,0,0,0,0
24700,3110,0,0,0,0
24800,3205,0,0,0,0
24900,3100,0,0,0,0
25000,3015,0,0,0,0
25100,2930,0,0,0,0
25200,2975,0,0,0,0
25300,2905,0,0,0,0
25400,2970,0,0,0,0
25500,3195,0,0,0,0
25600,3145,0,0,0,0
25700,3195,0,0,0,0
25800,3090,0,0,0,0
25900,3230,0,0,0,0
26000,3285,0,0,0,0
26100,3150,0,0,0,0
26200,3265,0,0,0,0
26300,3160,0,0,0,0
26400,3250,0,0,0,0
26500,3360,0,0,0,0
26600,3545,0,0,0,0
26700,3520,0,0,0,0
26800,3630,0,0,0,0
26900,3400,0,0,0,0
27000,3395,0,0,0,0
27100,3280,0,0,0,0
27200,3645,0,0,0,0
27300,3745,0,0,0,0
27400,3600,0,0,0,0
27500,3440,0,0,0,0
27600,3370,0,0,0,0
27700,3470,0,0,0,0
27800,3635,0,0,0,0
27900,3470,0,0,0,0
28000,3530,0,0,0,0
28100,3540,0,0,0,0
28200,3735,0,0,0,0
28300,3905,0,0,0,0
28400,4135,0,0,0,0
28500,3895,0,0,0,0
28600,3845,0,0,0,0
28700,4045,0,0,0,0
28800,4060,0,0,0,0
28900,4115,0,0,0,0
29000,4360,0,0,0,0
29100,4345,0,0,0,0
29200,4315,0,0,0,0
29300,4100,0,0,0,0
29400,4230,0,0,0,0
29500,4040,0,0,0,0
29600,4170,0,0,0,0
29700,3910,0,0,0,0
29800,3855,0,0,0,0
29900,3515,0,0,0,0
30000,3435,0,0,0,0
30100,3585,0,0,0,0
30200,3560,0,0,0,0
30300,3650,0,0,0,0
30400,3715,0,0,0,0
30500,3445,0,0,0,0
30600,3535,0,0,0,0
30700,3565,0,0,0,0
30800,3600,0,0,0,0
30900,3685,0,0,0,0
31000,3655,0,0,0,0
31100,3650,0,0,0,0
31200,3655,0,0,0,0
31300,3600,0,0,0,0
31400,3460,0,0,0,0
31500,3455,0,0,0,0
31600,3395,0,0,0,0
31700,3400,0,0,0,0
31800,3505,0,0,0,0
31900,3620,0,0,0,0
32000,3860,0,0,0,0
32100,3825,0,0,0,0
32200,3815,0,0,0,0
32300,3935,0,0,0,0
32400,3830,0,0,0,0
32500,3820,0,0,0,0
32600,3865,0,0,0,0
32700,4005,0,0,0,0
32800,3980,0,0,0,0
32900,3830,0,0,0,0
33000,3935,0,0,0,0
33100,3815,0,0,0,0
33200,3940,0,0,0,0
33300,3695,0,0,0,0
33400,3890,0,0,0,0
33500,3920,0,0,0,0
33600,3980,0,0,0,0
33700,4115,0,0,0,0
33800,4175,0,0,0,0
33900,4055,0,0,0,0
34000,4045,0,0,0,0
34100,3845,0,0,0,0
34200,3755,0,0,0,0
34300,3820,0,0,0,0
34400,3690,0,0,0,0
34500,3460,0,0,0,0
34600,3580,0,0,0,0
34700,3560,0,0,0,0
34800,3525,0,0,0,0
34900,3515,0,0,0,0
35000,3735,0,0,0,0
35100,3535,0,0,0,0
35200,3710,0,0,0,0
35300,3720,0,0,0,0
35400,3575,0,0,0,0
35500,3710,0,0,0,0
35600,3600,0,0,0,0
35700,3545,0,0,0,0
35800,3655,0,0,0,0
35900,3650,0,0,0,0
36000,3785,0,0,0,0
36100,3960,0,0,0,0
36200,4170,0,0,0,0
36300,3945,0,0,0,0
36400,3875,0,0,0,0
36500,4010,0,0,0,0
36600,3940,0,0,0,0
36700,3895,0,0,0,0
36800,3835,0,0,0,0
36900,3855,0,0,0,0
37000,3940,0,0,0,0
37100,3990,0,0,0,0
37200,4050,0,0,0,0
37300,4125,0,0,0,0
