parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000111000,1,0,87,0
000101010,1,0,77,0
000011000,3,0,66,0
000011001,1,0,329,0
000010010,2,0,57,0
000000000,9625,0,0,0
000000100,16,0,25,0
000000011,2,0,280,0
000000010,12,0,5,0
000110000,1,0,65,0
000100001,4,0,291,0
000100000,13,0,19,0
000011100,4,0,85,0
000110100,6,0,78,0
000000001,253,0,14,0
000010100,8,0,56,0
000100100,2,0,61,0
000001001,1,0,300,0
000101000,2,0,60,0
000000101,2,0,303,0
000010101,1,0,323,0
000010001,3,0,303,0
000001000,21,0,15,0
000111100,2,0,104,0
000010000,12,0,32,0
001000000,2,0,0,0
