parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000110,0,1,36,7
000010010,2,0,46,15
000010001,3,2,249,58
000011000,6,0,44,17
000010000,13,6,23,7
000000101,1,1,237,54
000001001,2,0,240,55
000101000,1,0,33,8
000111000,1,1,55,17
000011010,2,0,58,18
000010011,0,1,263,61
000000000,9711,151,0,0
000000100,10,1,10,5
000000001,212,46,7,4
000110100,3,2,51,15
000000011,1,0,233,52
000000010,9,0,7,3
000111100,2,0,65,21
000001000,9,3,16,2
000100000,6,1,7,3
000001010,2,1,35,6
000010100,4,1,43,15
