parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101010,1,0,63,0
000111001,2,0,293,0
000110111,1,0,303,0
000011000,3,0,60,0
000110101,1,0,286,0
000010010,1,0,53,0
000000000,9683,0,0,0
000001001,4,0,258,0
000000011,1,0,251,0
000000010,12,0,9,0
000000100,10,0,18,0
000111100,2,0,81,0
000001000,13,0,23,0
000010101,1,0,278,0
000010001,1,0,260,0
000010000,18,0,17,0
000100100,3,0,35,0
000010100,2,0,51,0
000100000,7,0,12,0
000001010,5,0,46,0
000110100,2,0,59,0
000000001,221,0,12,0
000001100,5,0,51,0
000011101,1,0,297,0
