parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000110,0,1,40,8
000101100,3,0,48,12
000010001,2,1,191,41
000110100,1,0,53,12
000001100,1,0,43,12
000000001,152,27,9,8
000011000,3,1,49,13
000000000,9768,86,0,0
000000100,8,2,19,3
000001010,1,0,36,12
000100001,2,0,173,35
000110000,1,0,44,8
000100000,4,0,12,0
000011100,1,0,61,18
000000010,10,1,4,4
000000011,2,3,171,34
000100100,2,0,32,5
000010100,8,1,40,11
000110110,1,0,66,16
000001001,3,3,179,36
000000101,0,1,188,38
000111100,2,0,66,18
000001000,10,3,14,4
000010000,15,5,19,3
