seed,sym_type,update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
14,0,161000,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,161200,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,161400,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,161600,19998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0,161800,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,162000,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,162200,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,162400,19999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,162600,19998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0,162800,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,163000,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,163200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,163400,19978,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,163600,19927,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,163800,19991,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
14,0,164000,19994,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
14,0,164200,19998,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0,164400,19998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,164600,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,164800,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,165000,19999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0,165200,19996,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,165400,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,165600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,165800,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,166000,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,166200,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,166400,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,166600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,166800,19997,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
14,0,167000,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,167200,19998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,167400,19997,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
14,0,167600,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,167800,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,168000,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,168200,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,168400,19995,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
14,0,168600,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,168800,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,169000,19997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,169200,19996,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,169400,19999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,169600,19990,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
14,0,169800,19993,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,170000,19995,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,170200,19994,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,170400,19999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,170600,19997,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
