uid treatment rep update count partner
AGE750_10 AGE750 10 600 10000 Count
AGE750_10 AGE750 10 600 8161 Sym
AGE750_10 AGE750 10 700 10000 Count
AGE750_10 AGE750 10 700 8178 Sym
AGE750_10 AGE750 10 800 2007 Count
AGE750_10 AGE750 10 800 199 Sym
AGE750_10 AGE750 10 900 2007 Count
AGE750_10 AGE750 10 900 232 Sym
AGE750_10 AGE750 10 1000 2007 Count
AGE750_10 AGE750 10 1000 265 Sym
AGE750_11 AGE750 11 0 10000 Count
AGE750_11 AGE750 11 0 10000 Sym
AGE750_11 AGE750 11 100 10000 Count
AGE750_11 AGE750 11 100 10000 Sym
AGE750_11 AGE750 11 200 10000 Count
AGE750_11 AGE750 11 200 10000 Sym
AGE750_11 AGE750 11 300 10000 Count
AGE750_11 AGE750 11 300 10000 Sym
AGE750_11 AGE750 11 400 10000 Count
AGE750_11 AGE750 11 400 10000 Sym
AGE750_11 AGE750 11 500 10000 Count
AGE750_11 AGE750 11 500 9970 Sym
AGE750_11 AGE750 11 600 10000 Count
AGE750_11 AGE750 11 600 8177 Sym
AGE750_11 AGE750 11 700 10000 Count
AGE750_11 AGE750 11 700 8187 Sym
AGE750_11 AGE750 11 800 2005 Count
AGE750_11 AGE750 11 800 213 Sym
AGE750_11 AGE750 11 900 2005 Count
AGE750_11 AGE750 11 900 242 Sym
AGE750_11 AGE750 11 1000 2005 Count
AGE750_11 AGE750 11 1000 294 Sym
AGE750_12 AGE750 12 0 10000 Count
AGE750_12 AGE750 12 0 10000 Sym
AGE750_12 AGE750 12 100 10000 Count
AGE750_12 AGE750 12 100 10000 Sym
AGE750_12 AGE750 12 200 10000 Count
AGE750_12 AGE750 12 200 10000 Sym
AGE750_12 AGE750 12 300 10000 Count
AGE750_12 AGE750 12 300 10000 Sym
AGE750_12 AGE750 12 400 10000 Count
AGE750_12 AGE750 12 400 10000 Sym
AGE750_12 AGE750 12 500 10000 Count
AGE750_12 AGE750 12 500 9968 Sym
AGE750_12 AGE750 12 600 10000 Count
AGE750_12 AGE750 12 600 8162 Sym
AGE750_12 AGE750 12 700 10000 Count
AGE750_12 AGE750 12 700 8171 Sym
AGE750_12 AGE750 12 800 2013 Count
AGE750_12 AGE750 12 800 196 Sym
AGE750_12 AGE750 12 900 2013 Count
AGE750_12 AGE750 12 900 223 Sym
AGE750_12 AGE750 12 1000 2013 Count
AGE750_12 AGE750 12 1000 259 Sym
