parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000101,1,1,319,69
000110000,1,0,79,6
000000110,0,1,73,10
000010010,3,0,83,8
000001100,3,1,68,12
000000001,265,61,16,4
000110100,2,0,100,11
000010100,9,0,80,8
000100100,3,0,58,10
000010001,3,0,329,67
000010101,2,1,353,70
000010000,24,0,40,3
000000111,1,0,343,74
000110001,2,0,346,70
000011100,2,0,105,13
000100000,12,2,14,2
000001010,4,0,56,13
000000010,16,4,14,1
000000011,1,0,304,70
000000100,17,2,27,5
000101000,1,1,56,9
000011000,6,1,79,8
000000000,9599,232,0,0
000111100,3,1,116,14
000010011,2,0,350,72
000011011,1,0,368,76
000011010,1,0,102,14
000111101,1,0,384,76
000011001,1,0,352,71
000001000,13,2,23,6
000110011,1,0,367,75
000001001,0,2,314,69
