parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011010,2,0,181,12
010000000,1,0,0,0
000000011,4,0,586,106
000110001,2,0,621,105
000010001,11,0,599,104
000010101,2,1,635,104
000000101,13,1,574,103
000001001,4,0,577,101
000001101,1,0,622,105
000011100,6,0,162,8
000100000,8,0,19,3
000010000,39,1,55,4
000100001,3,2,554,99
000110000,2,0,108,8
000000010,46,5,13,1
000000100,24,0,45,6
001000000,2,0,0,0
000000000,9274,489,0,0
000000001,491,96,46,4
000110100,5,0,145,10
000001100,2,0,109,7
000010010,2,0,145,11
000000110,0,1,127,10
000010100,12,3,123,4
000100100,1,0,88,9
000100010,3,0,78,9
000001000,28,0,25,1
000110011,1,0,668,111
000101000,1,1,78,2
000011000,5,0,125,6
000011001,2,0,639,105
000011101,2,0,664,106
000110111,1,0,694,111
