parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000111000,1,0,90,2
000011010,1,0,89,3
001000000,1,0,0,0
000101000,1,0,42,1
000000101,1,0,337,58
000001001,3,0,324,56
100000010,1,0,18,2
000101100,1,0,72,3
000110100,2,0,91,3
000001100,1,0,58,2
000000001,289,56,14,0
000011000,3,0,74,1
000000000,9588,241,0,0
000010000,28,0,30,1
000010101,1,0,374,58
000010001,4,0,352,57
000111100,1,0,108,3
000001000,12,0,15,0
000100001,2,0,319,57
000001010,1,0,43,2
000100000,12,1,8,0
000011100,2,0,93,2
000000100,17,1,20,1
000010010,4,0,68,3
000010100,11,1,67,1
000000010,9,2,10,0
000000011,3,0,316,58
