parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011001,1,0,364,0
000101100,1,0,77,0
000111000,2,0,76,0
000101000,1,0,47,0
000001001,1,0,333,0
000000101,5,0,337,0
000000000,9593,0,0,0
000111101,1,0,393,0
000011000,5,0,60,0
000010000,18,0,30,0
000110100,2,0,85,0
000000001,289,0,17,0
000001100,3,0,60,0
000000011,6,0,317,0
000000010,13,0,10,0
000000100,16,0,26,0
000110000,2,0,61,0
000100000,13,0,11,0
000011100,3,0,83,0
000001010,4,0,46,0
000010001,3,0,346,0
000111100,2,0,97,0
000001000,7,0,24,0
000010100,9,0,64,0
