parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000111101,1,0,371,0
000011000,2,0,55,0
000001000,7,0,16,0
000100010,2,0,37,0
000010011,1,0,345,0
000011010,1,0,72,0
000000011,2,0,315,0
000000010,12,0,8,0
000010101,2,0,349,0
000010001,3,0,328,0
000000000,9616,0,0,0
000010100,5,0,57,0
000100100,1,0,49,0
000101100,1,0,60,0
000001100,3,0,47,0
000000001,286,0,14,0
000110100,1,0,75,0
000000100,15,0,20,0
000100001,1,0,315,0
000001010,1,0,40,0
000100000,7,0,14,0
000011100,3,0,71,0
000110101,2,0,362,0
000110001,1,0,345,0
000010000,18,0,23,0
000101000,4,0,34,0
000000101,1,0,328,0
000010010,1,0,57,0
