update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,9260,8730,0,0
200,15153,14294,0,0
300,15093,14215,0,0
400,15089,14289,0,0
500,15110,14241,0,0
600,12053,11070,0,0
700,11585,10932,0,0
800,11548,10895,0,0
900,11555,10875,0,0
1000,11594,10906,0,0
1100,10349,9767,0,0
1200,8887,8386,0,0
1300,8851,8323,0,0
1400,8857,8324,0,0
1500,8859,8367,0,0
1600,7999,7385,0,0
1700,7025,6633,0,0
1800,6839,6497,0,0
1900,6874,6486,0,0
2000,6827,6480,0,0
2100,6752,6371,0,0
2200,5520,5190,0,0
2300,5389,5087,0,0
2400,5385,5088,0,0
2500,5377,5092,0,0
2600,5365,5077,0,0
2700,4410,4108,0,0
2800,4317,4104,0,0
2900,4322,4077,0,0
3000,4341,4080,0,0
3100,4263,4030,0,0
3200,3881,3663,0,0
3300,3560,3384,0,0
3400,3522,3318,0,0
3500,3496,3304,0,0
3600,3488,3292,0,0
3700,3224,3016,0,0
3800,2945,2797,0,0
3900,2965,2788,0,0
4000,2926,2777,0,0
4100,2930,2783,0,0
4200,2882,2715,0,0
4300,2493,2370,0,0
4400,2560,2420,0,0
4500,2578,2447,0,0
4600,2556,2423,0,0
4700,2561,2439,0,0
4800,2152,2009,0,0
4900,2202,2080,0,0
5000,2192,2084,0,0
5100,2214,2093,0,0
5200,2194,2072,0,0
5300,1940,1805,0,0
5400,1798,1702,0,0
5500,1832,1725,0,0
5600,1906,1784,0,0
5700,1940,1823,0,0
5800,1861,1743,0,0
5900,1815,1708,0,0
6000,1841,1752,0,0
6100,1887,1768,0,0
6200,1980,1863,0,0
6300,1974,1858,0,0
6400,1764,1660,0,0
6500,1895,1778,0,0
6600,1925,1808,0,0
6700,2046,1929,0,0
6800,2131,2034,0,0
6900,2032,1882,0,0
7000,2466,2301,0,0
7100,2765,2597,0,0
7200,3186,3016,0,0
7300,3522,3335,0,0
7400,3667,3423,0,0
7500,4444,4219,0,0
7600,4895,4540,0,0
7700,5486,5117,0,0
7800,5911,5543,0,0
7900,6821,6362,0,0
8000,7063,6575,0,0
8100,7839,7376,0,0
8200,8120,7626,0,0
8300,8112,7648,0,0
8400,9109,8574,0,0
8500,8506,7984,0,0
8600,9096,8569,0,0
8700,9159,8619,0,0
8800,8925,8400,0,0
8900,8779,8308,0,0
9000,7924,7449,0,0
9100,8001,7540,0,0
9200,8852,8292,0,0
9300,8522,8005,0,0
9400,8947,8388,0,0
9500,8826,8215,0,0
9600,8055,7490,0,0
9700,7975,7390,0,0
9800,8471,7761,0,0
9900,8728,8020,0,0
10000,8580,7888,0,0
10100,8801,8036,0,0
10200,7900,7175,0,0
10300,7189,6539,0,0
10400,6936,6209,0,0
10500,7004,6249,0,0
10600,7520,6692,0,0
10700,7032,6276,0,0
10800,7237,6355,0,0
10900,7787,6840,0,0
11000,7795,6913,0,0
11100,7558,6596,0,0
