update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,9263,8798,0,0
200,15173,14305,0,0
300,15090,14215,0,0
400,15083,14185,0,0
500,15093,14264,0,0
600,12109,11130,0,0
700,11591,10939,0,0
800,11583,10942,0,0
900,11559,10940,0,0
1000,11564,10870,0,0
1100,10376,9767,0,0
1200,8854,8346,0,0
1300,8818,8360,0,0
1400,8803,8322,0,0
1500,8860,8373,0,0
1600,7965,7392,0,0
1700,6992,6615,0,0
1800,6812,6431,0,0
1900,6853,6463,0,0
2000,6820,6468,0,0
2100,6741,6349,0,0
2200,5422,5125,0,0
2300,5302,4983,0,0
2400,5322,5048,0,0
2500,5306,5032,0,0
2600,5286,4996,0,0
2700,4331,4030,0,0
2800,4277,4030,0,0
2900,4296,4047,0,0
3000,4279,4078,0,0
3100,4233,4014,0,0
3200,3840,3617,0,0
3300,3484,3277,0,0
3400,3482,3319,0,0
3500,3471,3304,0,0
3600,3497,3298,0,0
3700,3166,2945,0,0
3800,2869,2690,0,0
3900,2877,2706,0,0
4000,2901,2736,0,0
4100,2880,2711,0,0
4200,2807,2656,0,0
4300,2438,2273,0,0
4400,2485,2344,0,0
4500,2485,2357,0,0
4600,2542,2407,0,0
4700,2516,2378,0,0
4800,2092,1962,0,0
4900,2093,1982,0,0
5000,2099,1987,0,0
5100,2134,2015,0,0
5200,2154,2026,0,0
5300,1932,1824,0,0
5400,1851,1756,0,0
5500,1916,1810,0,0
5600,1948,1843,0,0
5700,1906,1814,0,0
5800,1766,1648,0,0
5900,1669,1573,0,0
6000,1765,1670,0,0
6100,1782,1690,0,0
6200,1793,1706,0,0
6300,1738,1638,0,0
6400,1559,1484,0,0
6500,1647,1562,0,0
6600,1743,1634,0,0
6700,1790,1677,0,0
6800,1825,1704,0,0
6900,1653,1537,0,0
7000,1701,1607,0,0
7100,1829,1714,0,0
7200,1833,1743,0,0
7300,1870,1752,0,0
7400,1820,1706,0,0
7500,1958,1843,0,0
7600,2377,2210,0,0
7700,2746,2573,0,0
7800,3046,2839,0,0
7900,3535,3259,0,0
8000,3827,3585,0,0
8100,4362,4070,0,0
8200,4882,4517,0,0
8300,5386,4941,0,0
8400,5441,5062,0,0
8500,6454,6041,0,0
8600,7618,7141,0,0
8700,8419,7883,0,0
8800,9229,8692,0,0
8900,9267,8765,0,0
9000,8418,7909,0,0
9100,9024,8469,0,0
9200,9723,9159,0,0
9300,10218,9599,0,0
9400,10548,9933,0,0
9500,10612,10005,0,0
9600,10743,10206,0,0
9700,11059,10513,0,0
9800,10613,10029,0,0
9900,10494,9962,0,0
10000,10031,9516,0,0
10100,10061,9441,0,0
10200,10849,10221,0,0
10300,10452,9878,0,0
10400,10530,9880,0,0
10500,9625,9031,0,0
10600,10393,9743,0,0
10700,10844,10138,0,0
10800,10228,9559,0,0
10900,10586,9875,0,0
11000,9908,9226,0,0
11100,10397,9677,0,0
11200,9746,9055,0,0
11300,11746,10886,0,0
11400,10994,10184,0,0
11500,10984,10110,0,0
11600,11319,10334,0,0
11700,10925,10083,0,0
11800,11019,10076,0,0
11900,10632,9641,0,0
12000,10513,9463,0,0
12100,10214,9285,0,0
12200,9893,8882,0,0
12300,9737,8719,0,0
12400,9806,8692,0,0
12500,10032,8924,0,0
12600,9460,8434,0,0
12700,9946,8832,0,0
12800,9549,8434,0,0
12900,9890,8688,0,0
13000,10123,8799,0,0
13100,9153,7953,0,0
13200,8962,7721,0,0
13300,9271,7907,0,0
13400,8831,7571,0,0
13500,8745,7391,0,0
13600,8161,6913,0,0
13700,8093,6733,0,0
13800,8286,6863,0,0
13900,7784,6329,0,0
14000,7203,5861,0,0
14100,7827,6350,0,0
14200,7373,5973,0,0
14300,6968,5601,0,0
14400,6966,5569,0,0
14500,7133,5724,0,0
14600,6952,5474,0,0
14700,7273,5686,0,0
14800,7000,5432,0,0
14900,6756,5212,0,0
15000,7331,5623,0,0
15100,7197,5459,0,0
15200,6918,5231,0,0
15300,7236,5490,0,0
15400,6625,4988,0,0
15500,6331,4674,0,0
15600,6702,4978,0,0
15700,6610,4851,0,0
15800,6201,4585,0,0
15900,6417,4689,0,0
16000,6809,4870,0,0
16100,6818,4873,0,0
16200,6273,4456,0,0
16300,5905,4157,0,0
16400,6118,4272,0,0
16500,6006,4175,0,0
16600,5797,4017,0,0
16700,5975,4132,0,0
16800,5292,3615,0,0
16900,5685,3864,0,0
17000,6037,4065,0,0
17100,5539,3747,0,0
17200,5813,3901,0,0
17300,5899,3989,0,0
17400,5542,3668,0,0
17500,4935,3239,0,0
17600,4582,3025,0,0
17700,4767,3102,0,0
17800,5017,3254,0,0
17900,5040,3206,0,0
18000,5335,3317,0,0
18100,4735,3000,0,0
18200,4786,3034,0,0
18300,4769,2986,0,0
18400,4759,2957,0,0
18500,4772,2920,0,0
18600,4830,2946,0,0
18700,4712,2794,0,0
18800,4292,2541,0,0
18900,4600,2771,0,0
19000,4636,2737,0,0
19100,3963,2298,0,0
19200,4265,2465,0,0
19300,4391,2466,0,0
19400,4431,2488,0,0
19500,3599,2012,0,0
19600,3960,2156,0,0
19700,4158,2220,0,0
19800,3888,2042,0,0
19900,3803,2031,0,0
20000,3507,1842,0,0
20100,3311,1704,0,0
20200,2950,1484,0,0
20300,3657,1859,0,0
20400,3561,1732,0,0
20500,3822,1872,0,0
20600,3931,1964,0,0
20700,3701,1785,0,0
20800,3793,1813,0,0
20900,3714,1778,0,0
21000,3218,1539,0,0
21100,3367,1642,0,0
21200,3143,1524,0,0
21300,3008,1396,0,0
21400,3130,1450,0,0
21500,3311,1501,0,0
21600,2982,1351,0,0
21700,2948,1340,0,0
21800,3109,1414,0,0
21900,2728,1248,0,0
22000,2932,1294,0,0
22100,3290,1484,0,0
22200,2783,1241,0,0
22300,2778,1240,0,0
22400,2462,1106,0,0
22500,2458,1103,0,0
22600,2520,1106,0,0
22700,2550,1150,0,0
