parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100101,1,0,308,0
000011000,4,0,57,0
000011010,1,0,67,0
000110100,1,0,82,0
000001100,2,0,53,0
000000001,250,0,13,0
000000000,9650,0,0,0
000100100,1,0,51,0
000010100,7,0,63,0
000010101,4,0,320,0
000010001,4,0,298,0
000111100,1,0,92,0
000001000,8,0,14,0
000001001,2,0,281,0
000101000,2,0,35,0
000010000,22,0,25,0
000110000,1,0,61,0
000100001,1,0,278,0
000100000,10,0,8,0
000011100,2,0,80,0
000000100,19,0,19,0
000000011,1,0,269,0
000000010,6,0,2,0
