parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100010,1,0,36,1
000011000,2,0,47,1
000000101,3,0,198,46
000000000,9748,125,0,0
000001010,1,0,33,1
000011100,3,0,60,3
000110000,3,0,51,1
000100001,4,0,194,44
000100000,8,0,17,0
000000010,10,1,3,0
000000100,9,2,21,0
000001100,1,0,42,2
000110100,1,0,66,3
000000001,166,44,11,0
000101100,3,0,56,2
000010001,1,0,208,45
000010101,2,0,222,47
000010000,16,1,20,0
000100100,2,0,45,2
000010100,3,0,51,3
000011010,1,0,59,2
000111000,1,0,63,1
000111100,2,0,74,3
000001000,8,0,15,0
000011101,1,0,232,47
