update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9977
600,10000,8156
700,10000,8170
800,10000,8170
900,10000,8169
1000,10000,8168
1100,10000,6710
1200,10000,6747
1300,10000,6748
1400,10000,6747
1500,10000,6745
1600,10000,5462
1700,10000,5701
1800,10000,5729
1900,10000,5730
2000,10000,5729
2100,10000,4664
2200,10000,4931
2300,10000,4982
2400,10000,4981
2500,10000,4987
2600,10000,4933
2700,10000,4254
2800,10000,4360
2900,10000,4394
3000,10000,4394
3100,10000,4389
3200,10000,3766
3300,10000,3913
3400,10000,3955
3500,10000,3958
3600,10000,3957
3700,10000,3271
3800,10000,3489
3900,10000,3568
4000,10000,3594
4100,10000,3593
4200,10000,3037
4300,10000,3225
4400,10000,3322
4500,10000,3352
4600,10000,3362
4700,10000,3306
4800,10000,2951
4900,10000,3085
5000,10000,3149
5100,10000,3171
5200,10000,3168
5300,10000,2767
5400,10000,2908
5500,10000,2984
5600,10000,3018
5700,10000,3035
5800,10000,2598
5900,10000,2709
6000,10000,2788
6100,10000,2825
6200,10000,2836
6300,10000,2532
6400,10000,2604
6500,10000,2681
6600,10000,2708
6700,10000,2689
6800,10000,2662
6900,10000,2506
7000,10000,2567
7100,10000,2585
7200,10000,2578
7300,10000,2539
7400,10000,2469
7500,10000,2526
7600,10000,2520
7700,10000,2516
7800,10000,2527
7900,10000,2475
8000,10000,2485
8100,10000,2475
8200,10000,2472
8300,10000,2463
8400,10000,2416
8500,10000,2395
8600,10000,2384
8700,10000,2358
8800,10000,2339
8900,10000,2291
9000,10000,2221
9100,10000,2209
9200,10000,2179
9300,10000,2149
9400,10000,2108
9500,10000,2067
9600,10000,2038
9700,10000,2010
9800,10000,1972
9900,10000,1949
10000,10000,1913
10100,10000,1888
10200,10000,1850
10300,10000,1815
10400,10000,1777
10500,10000,1752
10600,10000,1720
10700,10000,1703
10800,10000,1676
10900,10000,1652
11000,10000,1618
11100,10000,1590
11200,10000,1555
11300,10000,1527
11400,10000,1482
11500,10000,1461
11600,10000,1444
11700,10000,1423
11800,10000,1399
11900,10000,1382
12000,10000,1350
12100,10000,1343
12200,10000,1322
12300,10000,1312
12400,10000,1306
12500,10000,1278
12600,10000,1250
12700,10000,1231
12800,10000,1221
12900,10000,1202
13000,10000,1171
13100,10000,1160
13200,10000,1155
13300,10000,1152
13400,10000,1129
13500,10000,1109
13600,10000,1098
13700,10000,1084
13800,10000,1069
13900,10000,1056
14000,10000,1036
14100,10000,1015
14200,10000,993
14300,10000,974
14400,10000,966
14500,10000,959
14600,10000,943
14700,10000,938
14800,10000,923
14900,10000,908
15000,10000,900
15100,10000,900
15200,10000,887
15300,10000,878
15400,10000,861
15500,10000,858
15600,10000,854
15700,10000,847
15800,10000,842
15900,10000,829
16000,10000,818
16100,10000,801
16200,10000,786
16300,10000,775
16400,10000,760
16500,10000,749
16600,10000,743
16700,10000,729
16800,10000,728
16900,10000,729
17000,10000,723
17100,10000,716
17200,10000,705
17300,10000,698
17400,10000,689
17500,10000,682
17600,10000,677
17700,10000,677
17800,10000,674
17900,10000,661
18000,10000,648
18100,10000,646
18200,10000,626
18300,10000,614
18400,10000,601
18500,10000,589
18600,10000,582
18700,10000,586
18800,10000,575
18900,10000,566
19000,10000,562
19100,10000,554
19200,10000,548
19300,10000,527
19400,10000,534
19500,10000,527
19600,10000,518
19700,10000,519
19800,10000,525
19900,10000,521
20000,10000,513
20100,10000,504
20200,10000,501
20300,10000,500
20400,10000,503
20500,10000,504
20600,10000,503
20700,10000,494
20800,10000,503
20900,10000,494
21000,10000,499
21100,10000,498
21200,10000,485
21300,10000,487
21400,10000,495
21500,10000,498
21600,10000,493
21700,10000,487
21800,10000,483
21900,10000,476
22000,10000,473
22100,10000,476
22200,10000,478
22300,10000,481
22400,10000,474
22500,10000,470
22600,10000,462
22700,10000,463
22800,10000,460
22900,10000,447
23000,10000,444
23100,10000,447
23200,10000,455
23300,10000,457
23400,10000,458
23500,10000,461
23600,10000,461
23700,10000,460
23800,10000,464
23900,10000,468
24000,10000,465
24100,10000,457
24200,10000,458
24300,10000,460
24400,10000,456
24500,10000,456
24600,10000,454
24700,10000,451
24800,10000,452
24900,10000,451
25000,10000,452
25100,10000,449
25200,10000,457
25300,10000,458
25400,10000,461
25500,10000,454
25600,10000,452
25700,10000,456
25800,10000,455
25900,10000,451
26000,10000,448
26100,10000,451
26200,10000,447
26300,10000,445
26400,10000,441
26500,10000,435
26600,10000,436
26700,10000,427
26800,10000,425
26900,10000,424
27000,10000,419
27100,10000,423
27200,10000,421
27300,10000,426
27400,10000,436
27500,10000,435
27600,10000,430
27700,10000,429
27800,10000,428
27900,10000,433
28000,10000,422
28100,10000,426
28200,10000,422
28300,10000,419
