update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9999,38379,0,0,2,6,0,2,0,7,1,3,0,0,0,0,0,0
200,9996,33364,0,6,0,1,1,4,3,5,0,3,0,0,0,0,0,0
300,9993,33220,0,6,1,2,1,3,1,7,4,1,0,0,0,0,0,0
400,9999,33315,0,8,0,4,0,4,1,3,0,4,0,0,0,0,0,0
500,9987,33277,0,7,6,6,0,6,3,4,4,4,0,0,0,0,0,0
600,9997,28109,0,3,2,5,0,1,1,8,0,1,0,0,0,0,0,0
700,9997,25874,0,4,2,7,0,3,1,8,0,4,0,0,0,0,0,0
800,9991,25975,0,4,3,5,1,1,5,2,0,2,0,0,0,0,0,0
900,9990,26124,0,3,4,7,0,2,4,5,2,3,0,0,0,0,0,0
1000,9994,26079,0,1,1,4,1,1,4,6,0,4,0,0,0,0,0,0
1100,9989,23232,3,0,2,8,2,0,3,7,1,0,0,0,0,0,0,0
1200,9993,20417,2,6,0,6,2,1,2,5,1,0,0,0,0,0,0,0
1300,9989,20280,3,3,3,5,1,4,3,2,1,3,0,0,0,0,0,0
1400,9991,20279,1,3,2,2,0,1,6,4,0,0,0,0,0,0,0,0
1500,9990,20292,0,4,5,3,0,3,5,3,0,1,0,0,0,0,0,0
1600,9985,19287,3,5,4,1,3,1,3,5,2,1,0,0,0,0,0,0
1700,9994,16350,1,8,0,2,1,1,1,3,3,2,0,0,0,0,0,0
1800,9994,16249,0,5,1,5,2,3,2,2,1,1,0,0,0,0,0,0
1900,9995,16156,2,2,0,2,1,2,1,4,1,0,0,0,0,0,0,0
2000,9993,16083,1,5,1,2,4,5,1,8,0,0,0,0,0,0,0,0
2100,9993,16123,4,7,1,4,1,0,1,1,0,0,0,0,0,0,0,0
2200,9994,13049,2,10,1,0,1,1,1,3,1,1,0,0,0,0,0,0
2300,9990,12797,2,7,4,1,3,3,1,3,0,1,0,0,0,0,0,0
2400,9988,12913,3,6,4,3,0,1,4,0,1,2,0,0,0,0,0,0
2500,9986,12939,1,2,4,0,2,1,4,2,3,1,0,0,0,0,0,0
2600,9989,12972,2,0,2,4,3,0,4,2,0,1,0,0,0,0,0,0
2700,9991,11118,2,6,1,0,2,2,4,0,0,1,0,0,0,0,0,0
2800,9985,10583,5,2,2,4,1,0,2,1,5,1,0,0,0,0,0,0
2900,9991,10430,4,6,2,1,1,8,2,3,0,0,0,0,0,0,0,0
3000,9992,10456,4,10,1,0,2,5,1,1,0,0,0,0,0,0,0,0
3100,9984,10486,1,5,0,3,7,1,5,3,3,0,0,0,0,0,0,0
3200,9984,9392,4,8,0,1,5,3,6,3,1,0,0,0,0,0,0,0
3300,9986,8672,6,4,0,2,1,2,5,1,2,0,0,0,0,0,0,0
3400,9986,8745,1,3,2,5,7,0,4,2,0,1,0,0,0,0,0,0
3500,9981,8746,5,8,4,1,6,1,3,1,1,1,0,0,0,0,0,0
3600,9983,8657,2,10,3,0,7,1,3,2,2,0,0,0,0,0,0,0
3700,9985,8268,8,3,1,0,3,2,3,2,0,1,0,0,0,0,0,0
3800,9986,7237,5,8,1,0,6,2,2,0,0,1,0,0,0,0,0,0
3900,9982,7345,6,8,2,1,7,2,2,4,1,0,0,0,0,0,0,0
4000,9976,7339,7,7,2,0,11,1,4,2,0,2,0,0,0,0,0,0
4100,9980,7262,8,3,3,1,5,3,2,2,2,1,0,3,0,0,0,0
4200,9976,7294,4,12,2,3,9,3,6,0,3,1,0,0,0,0,0,0
4300,9979,6218,9,14,4,1,5,1,3,4,0,0,0,0,0,0,0,0
4400,9978,6553,7,7,0,2,10,1,3,0,2,1,0,0,0,0,0,0
4500,9970,6421,11,5,3,0,13,1,2,2,1,0,0,0,0,0,0,0
4600,9972,6449,8,4,3,1,10,3,7,1,0,0,0,0,0,0,0,0
4700,9973,6382,10,10,2,0,11,2,4,2,0,0,0,0,0,0,0,0
4800,9974,5596,12,7,2,2,11,3,1,5,0,0,0,0,0,0,0,0
4900,9960,5446,20,9,2,0,14,3,3,0,1,0,0,0,0,0,0,0
5000,9968,5610,17,4,2,1,8,2,3,0,1,1,1,0,0,0,0,0
5100,9967,5759,16,10,2,2,10,1,3,1,1,1,1,0,0,0,0,0
5200,9959,5724,20,9,2,1,14,1,3,2,2,1,0,0,0,0,0,0
5300,9961,5150,24,16,2,1,8,2,2,1,3,0,0,0,0,0,0,0
5400,9961,4794,24,22,1,0,9,2,2,3,2,0,1,0,0,0,0,0
