parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000110,1,0,67,2
001000000,1,0,0,0
000101101,1,0,310,54
000011000,1,0,46,1
000010101,1,0,302,54
000010001,1,0,274,54
000111000,1,0,61,2
000010011,1,0,294,56
000001011,1,0,281,55
000000000,9657,179,0,0
000010100,6,0,56,1
000100100,2,0,58,1
000001001,2,0,262,53
000101000,2,0,37,1
000000101,2,0,285,53
000111100,1,0,88,2
000001000,7,0,14,0
000100001,1,0,266,54
000011100,2,0,74,1
000100000,11,1,12,0
000100011,1,0,286,56
000001010,2,0,41,2
000000011,2,0,265,55
000000010,17,2,8,0
000000100,24,0,20,0
000001100,1,0,59,0
000000001,234,53,13,0
000110100,3,0,74,2
000010000,14,1,17,0
