update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
0,0,0,0,0,0
100,191625,0,0,0,0
200,166260,0,0,0,0
300,166010,0,0,0,0
400,166035,0,0,0,0
500,166020,0,0,0,0
600,140720,0,0,0,0
700,130055,0,0,0,0
800,129820,0,0,0,0
900,130275,0,0,0,0
1000,129850,0,0,0,0
1100,116370,0,0,0,0
1200,102575,0,0,0,0
1300,102795,0,0,0,0
1400,102950,0,0,0,0
1500,102435,0,0,0,0
1600,97230,0,0,0,0
1700,82020,0,0,0,0
1800,81080,0,0,0,0
1900,81475,0,0,0,0
2000,81570,0,0,0,0
2100,82145,0,0,0,0
2200,66990,0,0,0,0
2300,66080,0,0,0,0
2400,66105,0,0,0,0
2500,66515,0,0,0,0
2600,66465,0,0,0,0
2700,56485,0,0,0,0
2800,53030,0,0,0,0
2900,53500,0,0,0,0
3000,54085,0,0,0,0
3100,54760,0,0,0,0
3200,49060,0,0,0,0
3300,44095,0,0,0,0
3400,44400,0,0,0,0
3500,43680,0,0,0,0
3600,43725,0,0,0,0
3700,41135,0,0,0,0
3800,36600,0,0,0,0
3900,37855,0,0,0,0
4000,38210,0,0,0,0
4100,37950,0,0,0,0
4200,37930,0,0,0,0
4300,31590,0,0,0,0
4400,32290,0,0,0,0
4500,33365,0,0,0,0
4600,33505,0,0,0,0
4700,33865,0,0,0,0
4800,29970,0,0,0,0
4900,28185,0,0,0,0
5000,29205,0,0,0,0
5100,30140,0,0,0,0
5200,29910,0,0,0,0
5300,27105,0,0,0,0
5400,25070,0,0,0,0
5500,25695,0,0,0,0
5600,25930,0,0,0,0
5700,26555,0,0,0,0
5800,26140,0,0,0,0
5900,23980,0,0,0,0
6000,25360,0,0,0,0
6100,25415,0,0,0,0
6200,25725,0,0,0,0
6300,26360,0,0,0,0
6400,24465,0,0,0,0
6500,26915,0,0,0,0
6600,28910,0,0,0,0
6700,31410,0,0,0,0
6800,33575,0,0,0,0
6900,37140,0,0,0,0
7000,44925,0,0,0,0
7100,54380,0,0,0,0
7200,69900,0,0,0,0
7300,83730,0,0,0,0
7400,88040,0,0,0,0
7500,94410,0,0,0,0
7600,107420,0,0,0,0
7700,115720,0,0,0,0
7800,125420,0,0,0,0
7900,127430,0,0,0,0
8000,117580,0,0,0,0
8100,130580,0,0,0,0
8200,140170,0,0,0,0
8300,153860,0,0,0,0
8400,147525,0,0,0,0
8500,149905,0,0,0,0
8600,154960,0,0,0,0
8700,149385,0,0,0,0
8800,142165,0,0,0,0
8900,141175,0,0,0,0
9000,133480,0,0,0,0
9100,129050,0,0,0,0
9200,127655,0,0,0,0
9300,122285,0,0,0,0
9400,118160,0,0,0,0
9500,132090,0,0,0,0
9600,125625,0,0,0,0
9700,128850,0,0,0,0
9800,137175,0,0,0,0
9900,139505,0,0,0,0
10000,134755,0,0,0,0
