parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010010,1,0,52,1
000100101,1,0,328,45
000111101,1,0,363,46
000011000,2,0,56,1
000010001,4,0,310,46
000000000,9623,226,0,0
000001100,3,0,55,0
000000001,270,45,12,0
000111000,1,0,71,1
000011010,1,0,72,1
000111100,1,0,90,1
000001000,14,0,14,0
000001101,1,0,335,45
000000101,1,0,314,45
000101000,2,0,42,0
000010000,16,1,21,0
000100100,3,0,49,0
000010100,7,0,57,1
000000100,18,0,19,0
000000011,3,0,294,45
000000010,12,0,6,0
001000000,1,0,0,0
000011100,1,0,80,1
000110000,2,0,51,1
000100001,1,0,299,45
000100000,9,0,12,0
000001010,1,0,43,0
