parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000110000,1,0,73,0
000010011,1,0,352,51
000011010,1,0,95,0
000011100,4,0,104,0
000100000,11,0,16,0
000010000,25,0,26,0
000100001,3,0,313,51
000001010,3,0,57,0
000000100,16,0,29,0
000000010,11,0,14,0
000000011,3,0,309,51
000001000,14,0,26,0
000100100,5,0,59,0
000010100,6,0,77,0
000101100,1,0,90,0
000000001,271,51,21,0
000001100,4,0,72,0
000110100,2,0,98,0
000001001,4,0,321,51
000000101,5,0,327,51
000001011,1,0,340,51
000000000,9593,229,0,0
000010010,3,0,67,0
000010001,2,0,336,51
000111000,1,0,99,0
000101000,3,0,59,0
000011000,2,0,79,0
000000110,1,0,67,0
000010110,1,0,100,0
000011001,2,0,361,51
