update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9973
600,10000,8183
700,10000,8201
800,10000,8202
900,10000,8201
1000,10000,8201
1100,10000,6777
1200,10000,6833
1300,10000,6836
1400,10000,6835
1500,10000,6835
1600,10000,5550
1700,10000,5766
1800,10000,5784
1900,10000,5786
2000,10000,5784
2100,10000,4704
2200,10000,4998
2300,10000,5033
2400,10000,5036
2500,10000,5037
2600,10000,4974
2700,10000,4274
2800,10000,4381
2900,10000,4401
3000,10000,4406
3100,10000,4399
3200,10000,3731
3300,10000,3875
3400,10000,3906
3500,10000,3917
3600,10000,3914
3700,10000,3282
3800,10000,3494
3900,10000,3571
4000,10000,3600
4100,10000,3607
4200,10000,3018
4300,10000,3187
4400,10000,3274
4500,10000,3288
4600,10000,3311
4700,10000,3244
4800,10000,2879
4900,10000,3020
5000,10000,3069
5100,10000,3097
5200,10000,3099
5300,10000,2705
5400,10000,2833
5500,10000,2898
5600,10000,2916
5700,10000,2921
5800,10000,2561
5900,10000,2659
6000,10000,2740
6100,10000,2761
6200,10000,2782
6300,10000,2514
6400,10000,2555
6500,10000,2624
6600,10000,2669
6700,10000,2686
6800,10000,2681
6900,10000,2531
7000,10000,2614
7100,10000,2631
7200,10000,2650
7300,10000,2657
7400,10000,2597
7500,10000,2641
7600,10000,2655
7700,10000,2662
7800,10000,2664
7900,10000,2616
8000,10000,2601
8100,10000,2619
8200,10000,2618
8300,10000,2625
8400,10000,2601
8500,10000,2560
8600,10000,2546
8700,10000,2503
8800,10000,2480
8900,10000,2451
9000,10000,2391
9100,10000,2362
9200,10000,2335
9300,10000,2283
9400,10000,2282
9500,10000,2235
9600,10000,2182
9700,10000,2147
9800,10000,2112
9900,10000,2069
10000,10000,2027
10100,10000,2001
10200,10000,1953
10300,10000,1939
10400,10000,1910
10500,10000,1889
10600,10000,1863
10700,10000,1827
10800,10000,1803
10900,10000,1771
11000,10000,1739
11100,10000,1702
11200,10000,1676
11300,10000,1649
11400,10000,1616
11500,10000,1597
11600,10000,1555
11700,10000,1510
11800,10000,1478
11900,10000,1455
12000,10000,1415
12100,10000,1408
12200,10000,1369
12300,10000,1347
12400,10000,1329
12500,10000,1294
12600,10000,1265
12700,10000,1237
12800,10000,1222
12900,10000,1209
13000,10000,1184
13100,10000,1174
13200,10000,1143
13300,10000,1145
13400,10000,1092
13500,10000,1088
13600,10000,1068
13700,10000,1047
13800,10000,1031
13900,10000,1015
14000,10000,999
14100,10000,978
14200,10000,964
14300,10000,942
14400,10000,930
14500,10000,915
14600,10000,910
14700,10000,893
14800,10000,881
14900,10000,870
15000,10000,857
15100,10000,852
15200,10000,841
15300,10000,820
15400,10000,803
15500,10000,786
15600,10000,781
15700,10000,769
15800,10000,766
15900,10000,773
16000,10000,770
16100,10000,757
16200,10000,743
16300,10000,737
16400,10000,719
16500,10000,720
16600,10000,714
16700,10000,711
16800,10000,715
16900,10000,701
17000,10000,697
17100,10000,700
17200,10000,675
17300,10000,659
17400,10000,653
17500,10000,654
17600,10000,664
17700,10000,650
17800,10000,651
17900,10000,645
18000,10000,632
18100,10000,620
18200,10000,616
18300,10000,618
18400,10000,611
18500,10000,613
18600,10000,610
18700,10000,603
18800,10000,601
18900,10000,597
19000,10000,594
19100,10000,587
19200,10000,589
19300,10000,581
19400,10000,580
19500,10000,581
19600,10000,580
19700,10000,570
19800,10000,570
19900,10000,568
20000,10000,563
20100,10000,559
20200,10000,546
20300,10000,545
20400,10000,537
20500,10000,528
20600,10000,522
20700,10000,515
20800,10000,514
20900,10000,517
21000,10000,508
21100,10000,505
21200,10000,491
21300,10000,479
21400,10000,486
21500,10000,488
21600,10000,493
21700,10000,500
21800,10000,501
21900,10000,497
22000,10000,500
22100,10000,509
22200,10000,508
22300,10000,513
22400,10000,508
22500,10000,500
22600,10000,494
22700,10000,489
22800,10000,479
22900,10000,481
23000,10000,472
23100,10000,472
23200,10000,470
23300,10000,483
23400,10000,489
23500,10000,489
23600,10000,486
23700,10000,492
23800,10000,487
23900,10000,490
24000,10000,486
24100,10000,482
24200,10000,484
24300,10000,477
24400,10000,468
24500,10000,463
24600,10000,466
24700,10000,460
24800,10000,456
24900,10000,454
25000,10000,454
25100,10000,458
25200,10000,457
25300,10000,463
25400,10000,465
25500,10000,467
25600,10000,465
25700,10000,458
25800,10000,452
25900,10000,444
26000,10000,437
26100,10000,433
26200,10000,429
26300,10000,423
26400,10000,417
26500,10000,411
26600,10000,408
26700,10000,411
26800,10000,411
26900,10000,408
27000,10000,404
27100,10000,401
27200,10000,397
27300,10000,388
27400,10000,392
27500,10000,387
27600,10000,389
27700,10000,393
27800,10000,389
27900,10000,390
28000,10000,398
28100,10000,399
28200,10000,401
28300,10000,398
