update,sym_points_earned,sym_donate_calls,sym_points_donated,sym_steal_calls,sym_points_stolen
22600,33530,0,0,0,0
22700,28535,0,0,0,0
22800,30915,0,0,0,0
22900,33245,0,0,0,0
23000,29095,0,0,0,0
23100,24245,0,0,0,0
23200,20245,0,0,0,0
23300,20670,0,0,0,0
23400,21230,0,0,0,0
23500,22640,0,0,0,0
23600,21895,0,0,0,0
23700,25680,0,0,0,0
23800,25705,0,0,0,0
23900,27470,0,0,0,0
24000,23035,0,0,0,0
24100,23750,0,0,0,0
24200,23890,0,0,0,0
24300,23055,0,0,0,0
24400,19660,0,0,0,0
24500,19155,0,0,0,0
24600,23105,0,0,0,0
24700,22035,0,0,0,0
24800,21905,0,0,0,0
24900,19445,0,0,0,0
25000,18640,0,0,0,0
25100,17720,0,0,0,0
25200,16895,0,0,0,0
25300,14020,0,0,0,0
25400,18100,0,0,0,0
25500,21160,0,0,0,0
25600,21055,0,0,0,0
25700,19450,0,0,0,0
25800,18445,0,0,0,0
25900,20865,0,0,0,0
26000,21925,0,0,0,0
26100,22795,0,0,0,0
26200,23725,0,0,0,0
26300,23525,0,0,0,0
26400,21715,0,0,0,0
26500,20415,0,0,0,0
26600,15670,0,0,0,0
26700,17360,0,0,0,0
26800,17720,0,0,0,0
26900,18755,0,0,0,0
27000,17785,0,0,0,0
27100,13945,0,0,0,0
27200,12040,0,0,0,0
27300,12350,0,0,0,0
27400,12940,0,0,0,0
27500,15585,0,0,0,0
27600,16900,0,0,0,0
27700,15585,0,0,0,0
27800,13670,0,0,0,0
27900,12910,0,0,0,0
28000,11580,0,0,0,0
28100,11405,0,0,0,0
28200,13350,0,0,0,0
28300,17280,0,0,0,0
28400,20965,0,0,0,0
28500,20355,0,0,0,0
28600,20515,0,0,0,0
28700,17460,0,0,0,0
28800,14810,0,0,0,0
28900,15545,0,0,0,0
29000,15325,0,0,0,0
29100,16755,0,0,0,0
29200,17605,0,0,0,0
29300,14960,0,0,0,0
29400,12215,0,0,0,0
29500,11920,0,0,0,0
29600,10495,0,0,0,0
29700,9455,0,0,0,0
29800,11625,0,0,0,0
29900,14300,0,0,0,0
30000,13280,0,0,0,0
30100,12685,0,0,0,0
30200,13750,0,0,0,0
30300,11765,0,0,0,0
30400,8920,0,0,0,0
